Instances,feature_ cheap.pattern.time,feature_ cheap.pattern.vertices,feature_ cheap.pattern.edges,feature_ cheap.pattern.loops,feature_ cheap.pattern.meandeg,feature_ cheap.pattern.maxdeg,feature_ cheap.pattern.degisfixed,feature_ cheap.pattern.density,feature_ cheap.target.time,feature_ cheap.target.vertices,feature_ cheap.target.edges,feature_ cheap.target.loops,feature_ cheap.target.meandeg,feature_ cheap.target.maxdeg,feature_ cheap.target.degisfixed,feature_ cheap.target.density,feature_ distance.pattern.time,feature_ distance.pattern.isconnected,feature_ distance.pattern.meandistance,feature_ distance.pattern.maxdistance,feature_ distance.pattern.proportiondistancege2,feature_ distance.pattern.proportiondistancege3,feature_ distance.pattern.proportiondistancege4,feature_ distance.target.time,feature_ distance.target.isconnected,feature_ distance.target.meandistance,feature_ distance.target.maxdistance,feature_ distance.target.proportiondistancege2,feature_ distance.target.proportiondistancege3,feature_ distance.target.proportiondistancege4,feature_ lad.values.removed,feature_ lad.values.removed.percent,feature_ lad.values.removed.min,feature_ lad.values.removed.max,feature_ lad.time,algo_lad,algo_supplementallad,algo_vf2,algo_glasgow1,algo_glasgow2,algo_glasgow3,algo_glasgow4
g29-g56,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,256.0,1000.0,0.0,7.8125,25.0,0.0,0.030637,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,5.0,0.0,3.07479,6.0,0.859406,0.6586,0.283356,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,19.0,211.0
g29-g57,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,280.0,61.0,0.0,0.435714,7.0,0.0,0.001562,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,1.0,0.0,1.21795,2.0,0.000434,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,15.0,115.0
g29-g58-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,280.0,387.0,1.0,2.76071,36.0,0.0,0.009908,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,3.0,0.0,3.33644,7.0,0.340077,0.282015,0.14602,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,4.0,19.0,129.0
g29-g59-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,280.0,388.0,1.0,2.76786,47.0,0.0,0.009933,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,3.0,0.0,3.48577,9.0,0.406046,0.340434,0.176964,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,20.0,180.0
g29-g60-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,280.0,1074.0,1.0,7.66786,70.0,0.0,0.027496,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,6.0,0.0,2.90538,6.0,0.865,0.635281,0.179107,0.0,100.0,0.0,0.0,0.0,1.0,4.0,NaN,2.0,8.0,32.0,309.0
g29-g61,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,331.0,930.0,0.0,5.61934,6.0,0.0,0.017028,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,5.0,1.0,9.57583,20.0,0.980002,0.948294,0.904044,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,14.0,178.0
g29-g62,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,377.0,962.0,0.0,5.10345,103.0,0.0,0.013573,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,8.0,1.0,3.58877,8.0,0.98381,0.789438,0.529125,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,24.0,191.0
g29-g63,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,400.0,2860.0,0.0,14.3,26.0,0.0,0.03584,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,23.0,1.0,3.46867,7.0,0.96175,0.7955,0.485625,0.0,100.0,0.0,0.0,0.0,1.0,2.0,294.0,5.0,13.0,52.0,417.0
g29-g64,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,400.0,9960.0,0.0,49.8,165.0,0.0,0.124812,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,51.0,1.0,2.23575,4.0,0.873,0.334475,0.025188,4474.0,11.185,1.75,33.25,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
g29-g65,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,435.0,2520.0,0.0,11.5862,12.0,0.0,0.026696,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,27.0,1.0,2.72983,4.0,0.971066,0.725961,0.028823,0.0,100.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,17.0,52.0,278.0
g29-g66-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,435.0,2664.0,144.0,11.9172,12.0,0.0,0.028222,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,27.0,1.0,2.72983,4.0,0.971066,0.725961,0.028823,0.0,100.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,11.0,53.0,292.0
g29-g67,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,462.0,1386.0,0.0,6.0,6.0,1.0,0.013015,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,13.0,1.0,4.10195,5.0,0.984848,0.919913,0.757576,0.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,7.0,19.0,138.0
g29-g68,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,462.0,6930.0,0.0,30.0,30.0,1.0,0.065076,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,56.0,1.0,2.73319,5.0,0.9329,0.608225,0.175325,0.0,100.0,0.0,0.0,1.0,7.0,7.0,NaN,18.0,124.0,414.0,4659.0
g29-g69,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,500.0,1479.0,0.0,5.916,12.0,0.0,0.011856,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,23.0,1.0,8.2421,16.0,0.986168,0.959528,0.915912,0.0,100.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,9.0,23.0,145.0
g29-g70,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,501.0,756.0,0.0,3.01796,10.0,0.0,0.006036,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,17.0,0.0,10.4096,21.0,0.929207,0.916905,0.897128,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,17.0,155.0
g29-g71,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,501.0,1497.0,0.0,5.97605,18.0,0.0,0.011952,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,22.0,1.0,7.14825,13.0,0.986076,0.958171,0.908729,0.0,100.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,9.0,24.0,157.0
g29-g72,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,561.0,147.0,0.0,0.524064,17.0,0.0,0.000936,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,7.0,0.0,3.11838,8.0,0.012754,0.009609,0.005058,0.0,100.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,8.0,18.0,133.0
g29-g73-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,561.0,1629.0,1.0,5.8057,99.0,0.0,0.010371,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,29.0,0.0,3.32517,9.0,0.921407,0.793611,0.35005,54100.0,96.434938,93.226379,99.46524,1.0,11.0,20.0,NaN,7.0,28.0,63.0,556.0
g29-g74,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,585.0,1228.0,0.0,4.19829,113.0,0.0,0.007189,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,19.0,1.0,3.55758,4.0,0.991114,0.816802,0.745293,0.0,100.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,14.0,37.0,433.0
g29-g75,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,610.0,7438.0,0.0,24.3869,154.0,0.0,0.040044,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,32.0,0.0,2.58237,7.0,0.391094,0.220263,0.06057,34162.0,56.003279,45.409836,72.459015,6.0,679.0,11.0,16.0,44.0,413.0,621.0,32918.0
g29-g76,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,610.0,35465.0,0.0,116.279,256.0,0.0,0.190934,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,154.0,0.0,2.12389,4.0,0.749643,0.288019,0.019086,5121.0,8.395082,3.278688,23.770493,24.0,2746.0,88.0,121.0,256.0,538.0,16585.0,2731127.0
g29-g77,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,610.0,82562.0,0.0,270.695,360.0,0.0,0.444491,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,318.0,1.0,1.59555,3.0,0.554598,0.039979,0.0,0.0,0.0,0.0,0.0,19.0,3953.0,181.0,417.0,497.0,750.0,112085.0,41088905.0
g29-g78,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,627.0,3545.0,0.0,11.3078,19.0,0.0,0.018064,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,66.0,1.0,4.8729,19.0,0.98037,0.898555,0.717637,0.0,100.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,17.0,59.0,397.0
g29-g79,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,0.0,763.0,1902.0,0.0,4.98558,14.0,0.0,0.006543,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,42.0,1.0,5.61555,8.0,0.992155,0.958017,0.895448,0.0,100.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,16.0,38.0,200.0
g29-g80,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,891.0,318.0,0.0,0.713805,6.0,0.0,0.000802,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,22.0,0.0,5.91067,15.0,0.007039,0.006359,0.005719,0.0,100.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,17.0,31.0,162.0
g29-g81,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1010.0,5994.0,0.0,11.8693,12.0,0.0,0.011763,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,206.0,1.0,3.06555,5.0,0.987258,0.866376,0.209844,0.0,100.0,0.0,0.0,2.0,7.0,4.0,20.0,10.0,54.0,235.0,766.0
g29-g82-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1010.0,5994.0,0.0,11.8693,12.0,0.0,0.011763,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,205.0,1.0,3.06555,5.0,0.987258,0.866376,0.209844,0.0,100.0,0.0,0.0,2.0,3.0,5.0,20.0,17.0,33.0,163.0,770.0
g29-g83,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1024.0,5120.0,0.0,10.0,10.0,1.0,0.009775,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,162.0,1.0,5.00489,10.0,0.989258,0.945312,0.828125,0.0,100.0,0.0,0.0,1.0,4.0,7.0,12.0,10.0,28.0,78.0,397.0
g29-g84,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1024.0,61440.0,0.0,120.0,120.0,1.0,0.117302,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,792.0,1.0,2.35582,4.0,0.881836,0.427734,0.044922,0.0,0.0,0.0,0.0,15.0,7383.0,133.0,184.0,276.0,634.0,23654.0,2760479.0
g29-g85,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1050.0,1574.0,0.0,2.9981,3.0,0.0,0.002858,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,88.0,1.0,8.09967,13.0,0.996192,0.990485,0.979142,0.0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,24.0,42.0,163.0
g29-g86-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1050.0,1576.0,2.0,3.0,3.0,1.0,0.002862,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,88.0,1.0,8.09967,13.0,0.996192,0.990485,0.979142,0.0,100.0,0.0,0.0,1.0,2.0,1.0,10.0,18.0,41.0,72.0,169.0
g29-g87,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1057.0,3561.0,0.0,6.73794,23.0,0.0,0.006381,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,128.0,0.0,5.16013,12.0,0.983245,0.939526,0.853035,0.0,100.0,0.0,0.0,0.0,4.0,3.0,14.0,18.0,30.0,77.0,543.0
g29-g88,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1057.0,4028.0,0.0,7.62157,22.0,0.0,0.007217,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,141.0,0.0,5.66995,14.0,0.988064,0.947504,0.864237,0.0,100.0,0.0,0.0,0.0,4.0,2.0,20.0,11.0,31.0,82.0,399.0
g29-g89,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,1.0,1092.0,2184.0,0.0,4.0,4.0,1.0,0.003666,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,111.0,1.0,5.7791,8.0,0.995421,0.984432,0.951465,0.0,100.0,0.0,0.0,1.0,2.0,1.0,10.0,19.0,26.0,48.0,270.0
g29-g90,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,2.0,1430.0,5005.0,0.0,7.0,7.0,1.0,0.004899,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,267.0,1.0,6.00551,11.0,0.994406,0.974825,0.92028,0.0,100.0,0.0,0.0,1.0,6.0,7.0,17.0,33.0,46.0,106.0,428.0
g29-g91,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,2.0,1446.0,3162.0,0.0,4.37344,219.0,0.0,0.003027,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,162.0,1.0,6.394,18.0,0.996284,0.964252,0.883107,0.0,100.0,0.0,0.0,0.0,3.0,5.0,20.0,20.0,49.0,118.0,433.0
g29-g92,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,3.0,1619.0,3517.0,0.0,4.34466,176.0,0.0,0.002685,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,227.0,1.0,6.96525,17.0,0.996699,0.975941,0.922645,0.0,100.0,0.0,0.0,2.0,3.0,6.0,26.0,24.0,57.0,126.0,498.0
g29-g93-normed,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,3.0,1800.0,209000.0,0.0,232.222,356.0,0.0,0.129084,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,5568.0,1.0,2.01206,3.0,0.870432,0.141062,0.0,0.0,0.0,0.0,0.0,51.0,33492194.0,18123022.0,NaN,40225.0,57807.0,473665.0,97067701.0
g29-g94,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,4.0,1860.0,5590.0,0.0,6.01075,9.0,0.0,0.003233,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,468.0,1.0,7.67313,16.0,0.996231,0.985283,0.958354,0.0,100.0,0.0,0.0,1.0,0.0,6.0,47.0,31.0,73.0,145.0,429.0
g29-g95,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,5.0,2000.0,1396.0,0.0,1.396,11.0,0.0,0.000698,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,150.0,0.0,13.1693,36.0,0.068187,0.067156,0.065609,0.0,100.0,0.0,0.0,0.0,4.0,4.0,46.0,35.0,76.0,122.0,270.0
g29-g96,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,5.0,2000.0,1657.0,0.0,1.657,13.0,0.0,0.000829,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,177.0,0.0,13.4234,41.0,0.145044,0.143656,0.141219,0.0,100.0,0.0,0.0,2.0,5.0,0.0,48.0,58.0,77.0,125.0,450.0
g29-g97,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,5.0,2000.0,1685.0,0.0,1.685,11.0,0.0,0.000843,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,180.0,0.0,15.947,47.0,0.160597,0.159242,0.156982,0.0,100.0,0.0,0.0,1.0,2.0,3.0,49.0,35.0,76.0,123.0,276.0
g29-g98,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,5.0,2000.0,2573.0,0.0,2.573,14.0,0.0,0.001287,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,267.0,0.0,12.7987,36.0,0.351012,0.348286,0.342952,0.0,100.0,0.0,0.0,2.0,5.0,6.0,56.0,59.0,80.0,131.0,484.0
g29-g99,0.0,100.0,906.0,0.0,18.12,31.0,0.0,0.18303,5.0,2000.0,2575.0,0.0,2.575,14.0,0.0,0.001288,1.0,1.0,1.84121,3.0,0.8088,0.024,0.0,268.0,0.0,12.8334,36.0,0.350418,0.34769,0.342357,0.0,100.0,0.0,0.0,2.0,3.0,9.0,55.0,37.0,78.0,130.0,320.0
g3-g10,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,41.0,80.0,0.0,3.90244,9.0,0.0,0.097561,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,3.22195,7.0,0.880428,0.672219,0.415229,80.0,19.512195,19.512196,19.512196,0.0,2.0,2.0,10.0,1.0,1.0,5.0,5.0
g3-g100,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,5.0,2016.0,2000.0,0.0,1.98413,2.0,0.0,0.000985,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,129.0,0.0,1.33155,2.0,0.000488,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.0,5.0,24.0,34.0,73.0,113.0,163.0
g3-g101,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,6.0,2184.0,6552.0,0.0,6.0,6.0,1.0,0.002749,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,704.0,1.0,4.83463,7.0,0.996795,0.983059,0.914377,0.0,0.0,0.0,0.0,1.0,108000.0,154683.0,450.0,1772.0,115.0,187.0,446.0
g3-g102,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,6.0,2184.0,8736.0,0.0,8.0,8.0,1.0,0.003665,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,826.0,1.0,4.25744,6.0,0.995879,0.970238,0.820971,0.0,0.0,0.0,0.0,2.0,111115.0,150016.0,880.0,5409.0,123.0,242.0,844.0
g3-g103,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,6.0,2184.0,13104.0,0.0,12.0,12.0,1.0,0.005497,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,1134.0,1.0,3.73065,6.0,0.994048,0.933608,0.61859,0.0,0.0,0.0,0.0,4.0,113266.0,151352.0,2562.0,27154.0,141.0,434.0,2340.0
g3-g104,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,14.0,3300.0,6596.0,0.0,3.99758,20.0,0.0,0.001212,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,1397.0,0.0,8.83072,28.0,0.517559,0.513402,0.501871,16420.0,49.757576,49.757576,49.757576,2.0,280.0,377.0,211.0,574.0,1330.0,2474.0,4236.0
g3-g105,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,14.0,3317.0,6617.0,0.0,3.98975,20.0,0.0,0.001203,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,1402.0,0.0,8.82651,28.0,0.51486,0.51073,0.499268,16580.0,49.984926,49.984924,49.984924,2.0,465.0,669.0,1266.0,339.0,1342.0,2622.0,4255.0
g3-g106,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,25.0,4493.0,13619.0,0.0,6.06232,25.0,0.0,0.00135,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,4936.0,1.0,8.34333,29.0,0.998428,0.992345,0.971973,12630.0,28.110394,28.110394,28.110394,6.0,1176.0,2167.0,5965.0,861.0,2037.0,3985.0,8560.0
g3-g107,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,25.0,4494.0,9812.0,0.0,4.36671,23.0,0.0,0.000972,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,2965.0,0.0,8.56683,25.0,0.553997,0.550267,0.538928,21500.0,47.841567,47.841568,47.841568,2.0,699.0,856.0,4040.0,443.0,2216.0,4121.0,7178.0
g3-g108,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,29.0,4866.0,10840.0,0.0,4.4554,24.0,0.0,0.000916,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,3672.0,0.0,8.55453,27.0,0.579695,0.576075,0.564798,22680.0,46.609125,46.609123,46.609123,5.0,1020.0,1391.0,3187.0,589.0,1972.0,3657.0,6532.0
g3-g109,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,31.0,5040.0,15120.0,0.0,6.0,6.0,1.0,0.001191,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,4208.0,1.0,10.5021,21.0,0.998611,0.994643,0.984921,0.0,0.0,0.0,0.0,4.0,1288102.0,1692407.0,10076.0,7723.0,577.0,921.0,1879.0
g3-g11,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,42.0,114.0,0.0,5.42857,10.0,0.0,0.132404,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,2.98955,9.0,0.846939,0.572562,0.295918,30.0,7.142857,7.142857,7.142857,0.0,2.0,2.0,770.0,2.0,1.0,1.0,4.0
g3-g110,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,36.0,5448.0,36105.0,0.0,13.2544,39.0,0.0,0.002433,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,9774.0,1.0,5.67628,16.0,0.997384,0.977723,0.912432,430.0,0.78928,0.78928,0.78928,9.0,1630490.0,2150541.0,NaN,179654.0,1266.0,3507.0,23191.0
g3-g111,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,40.0,5757.0,14135.0,0.0,4.91054,25.0,0.0,0.000853,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,5680.0,0.0,8.34249,29.0,0.608189,0.604462,0.592038,24860.0,43.182213,43.182213,43.182213,6.0,1129.0,1787.0,7145.0,818.0,3172.0,5943.0,10940.0
g3-g112,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,54.0,6671.0,14066.0,0.0,4.21706,419.0,0.0,0.000632,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,5967.0,1.0,9.66358,26.0,0.999218,0.990909,0.966094,15270.0,22.890121,22.890121,22.890121,31.0,1901535.0,2788600.0,3296289.0,2985.0,4883.0,7828.0,15321.0
g3-g12,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,48.0,203.0,0.0,8.45833,23.0,0.0,0.179965,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,0.0,2.18788,4.0,0.68316,0.282118,0.055556,110.0,22.916667,22.916666,22.916666,0.0,1.0,2.0,114642.0,26.0,0.0,1.0,9.0
g3-g13,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,49.0,125.0,0.0,5.10204,19.0,0.0,0.106293,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,0.0,2.13765,4.0,0.51312,0.184923,0.004165,190.0,38.77551,38.775509,38.775509,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
g3-g14,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,50.0,109.0,0.0,4.36,17.0,0.0,0.08898,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,0.0,2.56151,5.0,0.5696,0.3448,0.1016,190.0,38.0,38.0,38.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
g3-g15,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,50.0,145.0,0.0,5.8,20.0,0.0,0.118367,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,0.0,2.10366,4.0,0.54,0.1808,0.0032,170.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
g3-g16,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,53.0,189.0,0.0,7.13208,11.0,0.0,0.137155,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,2.51016,5.0,0.846565,0.503382,0.121752,10.0,1.886792,1.886792,1.886792,0.0,1.0,4.0,110.0,0.0,0.0,3.0,4.0
g3-g17,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,64.0,112.0,0.0,3.5,4.0,0.0,0.055556,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,5.33333,14.0,0.929688,0.834961,0.713867,120.0,18.75,18.75,18.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
g3-g18,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,64.0,128.0,0.0,4.0,4.0,1.0,0.063492,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,4.06349,8.0,0.921875,0.796875,0.609375,0.0,0.0,0.0,0.0,0.0,6.0,12.0,4.0,1.0,0.0,0.0,1.0
g3-g19,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,64.0,168.0,0.0,5.25,8.0,0.0,0.083333,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,2.87897,6.0,0.902344,0.638672,0.263672,40.0,6.25,6.25,6.25,0.0,7.0,9.0,249.0,2.0,1.0,2.0,3.0
g3-g20,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,64.0,728.0,0.0,22.75,27.0,0.0,0.361111,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,1.63889,2.0,0.628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,8.0,137.0
g3-g21,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,64.0,1848.0,0.0,57.75,61.0,0.0,0.916667,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,1.08333,2.0,0.082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,97.0,5074.0
g3-g22,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,67.0,224.0,0.0,6.68657,11.0,0.0,0.101312,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,1.0,3.46947,8.0,0.885275,0.704389,0.438851,20.0,2.985075,2.985075,2.985075,0.0,1.0,2.0,79.0,0.0,0.0,2.0,5.0
g3-g23,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,73.0,283.0,0.0,7.75342,52.0,0.0,0.107686,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,0.0,2.15819,4.0,0.750235,0.232689,0.009007,180.0,24.657534,24.657534,24.657534,0.0,1.0,0.0,17.0,0.0,1.0,3.0,13.0
g3-g24,0.0,10.0,15.0,0.0,3.0,3.0,1.0,0.333333,0.0,75.0,67.0,0.0,1.78667,6.0,0.0,0.024144,0.0,1.0,1.66667,2.0,0.6,0.0,0.0,0.0,0.0,3.84794,8.0,0.114133,0.097422,0.071111,610.0,81.333333,81.333336,81.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
