Instances,feature_ f_1,feature_ f_2,feature_ f_3,feature_ f_4,feature_ f_5,feature_ f_6,feature_ f_7,feature_ f_8,feature_ f_9,feature_ f_10,feature_ f_11,feature_ f_12,feature_ f_13,feature_ f_14,feature_ f_15,feature_ f_16,feature_ f_17,feature_ f_18,feature_ f_19,feature_ f_20,feature_ f_21,feature_ f_22,feature_ f_23,feature_ f_24,feature_ f_25,feature_ f_26,feature_ f_27,feature_ f_28,feature_ f_29,feature_ f_30,feature_ f_31,feature_ f_32,feature_ f_33,feature_ f_34,feature_ f_35,feature_ f_36,feature_ f_37,algo_CCEHC2akms,algo_ahms-1.70,algo_LMHS-2016,algo_Optiriss6,algo_WPM3-2015-co,algo_WMaxSatz09,algo_maxino16-dis,algo_Naps-1.02-ms,algo_mscg2015b,algo_mscg2015a,algo_maxhs-b,algo_Open-WBO16,algo_QMaxSAT16UC,algo_maxino16-c10,algo_WMaxSatz+,algo_CCLS2akms,algo_QMaxSAT14,algo_ahms-ls-1.70,algo_Open-WBO15
SU3__simp-genos.haps.58.wcnf,6135.0,103786.0,0.00173,1.0,0.0,1.0,1.0,0.05911,0.0004,0.84411,1e-05,0.00146,0.00145,0.0004,0.33178,0.00016,0.00896,0.0088,0.50204,0.64249,0.0,1.0,1.0,0.71896,0.31196,0.0,1.0,1.0,0.00252,0.53299,0.99828,0.00011,0.0,0.0,0.00078,0.00078,0.30779,NaN,NaN,NaN,2.96,5.99,NaN,5.38,53.7,4.13,1.85,487.18,11.27,50.71,4.03,NaN,NaN,48.34,NaN,5.22
SU3__simp-genos.haps.60.wcnf,6425.0,109131.0,0.00165,1.0,0.0,1.0,1.0,0.05887,0.00039,0.88462,1e-05,0.00139,0.00138,0.00039,0.28725,0.00016,0.00763,0.00747,0.51051,0.56654,0.0,1.0,1.0,0.72191,0.325,0.0,1.0,1.0,0.00243,0.49318,0.9984,0.00011,0.0,0.0,0.00072,0.00072,0.30661,NaN,NaN,NaN,2.13,5.54,NaN,5.3,11.9,1.71,3.5,41.41,20.45,4.76,7.2,NaN,NaN,6.12,NaN,5.53
SU3__simp-genos.haps.63.wcnf,8334.0,209643.0,0.00083,1.0,0.0,1.0,1.0,0.03975,0.00031,0.77101,0.0,0.00086,0.00085,0.00031,0.33045,0.00012,0.0084,0.00828,0.50088,0.68438,0.0,1.0,1.0,0.71117,0.30696,0.0,1.0,1.0,0.0011,0.43637,0.99906,8e-05,0.0,0.0,0.00044,0.00044,0.27784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SU3__simp-genos.haps.64.wcnf,6420.0,116343.0,0.00155,1.0,0.0,1.0,1.0,0.05518,0.00039,0.85544,1e-05,0.00129,0.00128,0.00039,0.31387,0.00016,0.00763,0.00748,0.49887,0.631,0.0,1.0,1.0,0.71197,0.33674,0.0,1.0,1.0,0.00222,0.50387,0.99847,0.00013,0.0,0.0,0.00071,0.00071,0.34515,NaN,NaN,NaN,9.81,16.37,NaN,60.64,112.13,4.14,5.72,NaN,9.87,24.06,16.97,NaN,NaN,28.8,NaN,59.27
SU3__simp-genos.haps.72.wcnf,6988.0,129090.0,0.00139,1.0,0.0,1.0,1.0,0.05413,0.00036,0.80669,1e-05,0.00119,0.00119,0.00036,0.29159,0.00014,0.00487,0.00472,0.50451,0.59093,0.0,1.0,1.0,0.71697,0.3258,0.0,1.0,1.0,0.00196,0.48613,0.99856,0.00011,0.0,0.0,0.00064,0.00064,0.31368,NaN,NaN,855.65,104.53,11.61,NaN,15.55,126.83,3.67,13.88,228.16,103.73,14.26,148.09,NaN,NaN,16.44,NaN,127.81
SU3__simp-genos.haps.74.wcnf,5985.0,89899.0,0.00196,1.0,0.0,1.0,1.0,0.06657,0.00042,0.96005,1e-05,0.00185,0.00184,0.00042,0.27569,0.00017,0.00702,0.00685,0.50646,0.55006,0.0,1.0,1.0,0.71948,0.32528,0.0,1.0,1.0,0.00291,0.50318,0.99823,0.00012,0.0,0.0,0.00101,0.00101,0.31397,NaN,NaN,8.93,0.13,0.31,NaN,0.37,3.53,0.29,0.19,5.73,2.67,2.71,0.5,NaN,NaN,2.9,NaN,2.24
SU3__simp-genos.haps.80.wcnf,8107.0,196214.0,0.00092,1.0,0.0,1.0,1.0,0.04132,0.00032,0.85168,1e-05,0.00107,0.00106,0.00032,0.30128,0.00012,0.00876,0.00863,0.51174,0.59708,0.0,0.99492,0.99492,0.72349,0.31212,0.0,1.0,1.0,0.0013,0.45313,0.99904,8e-05,0.0,0.0,0.00055,0.00055,0.27102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SU3__simp-genos.haps.86.wcnf,6181.0,93782.0,0.00192,1.0,0.0,1.0,1.0,0.06591,0.00041,0.88473,1e-05,0.0016,0.00159,0.00041,0.27466,0.00016,0.00469,0.00453,0.50503,0.55646,0.0,1.0,1.0,0.71627,0.33878,0.0,1.0,1.0,0.0028,0.49548,0.99818,0.00013,0.0,0.0,0.00086,0.00086,0.33625,NaN,NaN,NaN,0.66,2.25,NaN,3.61,6.72,0.72,0.88,665.79,6.33,3.17,6.71,NaN,NaN,2.74,NaN,3.34
SU3__simp-genos.haps.88.wcnf,7831.0,175891.0,0.00101,1.0,0.0,1.0,1.0,0.04452,0.00033,0.92173,1e-05,0.00115,0.00115,0.00033,0.28729,0.00013,0.0069,0.00677,0.50269,0.58236,0.0,1.0,1.0,0.70692,0.32136,0.0,1.0,1.0,0.00147,0.43169,0.99903,9e-05,0.0,0.0,0.00061,0.00061,0.30278,NaN,NaN,NaN,NaN,792.32,NaN,NaN,NaN,951.79,NaN,NaN,NaN,465.07,NaN,NaN,NaN,546.62,NaN,302.47
SU3__simp-genos.haps.9.wcnf,6693.0,109568.0,0.00164,1.0,0.0,1.0,1.0,0.06109,0.00038,0.88858,1e-05,0.00145,0.00144,0.00038,0.28003,0.00015,0.00508,0.00493,0.50459,0.56429,0.0,1.0,1.0,0.71542,0.33103,0.0,1.0,1.0,0.00241,0.48454,0.99841,0.00011,0.0,0.0,0.00075,0.00075,0.32235,NaN,NaN,NaN,NaN,1199.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SouthAfricaWoodlands2009.xml.wcnf,160572.0,528321.0,0.00179,1.0,0.0,1.0,1.0,0.30393,1e-05,0.0,0.0,8e-05,8e-05,1e-05,0.3978,1e-05,6e-05,5e-05,0.40126,0.42766,0.03125,0.97674,0.94549,0.37245,0.71039,0.0,1.0,1.0,0.00639,0.77373,0.93011,1e-05,0.0,0.0,6e-05,6e-05,0.83812,NaN,NaN,27.37,25.15,16.6,NaN,15.61,329.52,14.52,13.74,15.95,66.4,29.0,15.17,NaN,NaN,200.47,NaN,79.2
TEAMS20_l7aa.cnf.wcnf,5471.0,138116.0,0.03425,1.0,0.0,1.0,1.0,0.03961,0.0004,0.29239,1e-05,0.00066,0.00064,0.0004,0.53871,0.00018,0.00347,0.00329,0.11597,1.33468,0.0,0.51852,0.51852,0.06857,3.08476,0.0,1.0,1.0,0.03557,0.83327,0.9956,0.00034,0.0,1e-05,0.00042,0.00041,0.91759,NaN,NaN,611.01,30.59,24.87,NaN,10.39,88.24,13.82,10.73,104.97,250.4,199.1,48.52,NaN,NaN,105.02,NaN,296.61
TWComp_1c75_N69.wcnf,91700.0,768235.0,9e-05,1.0,0.0,1.0,1.0,0.11936,4e-05,3.4117,0.0,0.0007,0.0007,4e-05,0.28021,1e-05,0.00076,0.00075,0.4289,0.24495,0.02778,0.75,0.72222,0.43468,0.36027,0.0,1.0,1.0,9e-05,0.12645,0.59071,2e-05,0.0,0.0,0.00035,0.00035,0.58982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_1dj7_N73.wcnf,105922.0,907399.0,8e-05,1.0,0.0,1.0,1.0,0.11673,3e-05,3.48376,0.0,0.00063,0.00062,3e-05,0.27797,1e-05,0.0007,0.00069,0.42848,0.2437,0.02632,0.75,0.72368,0.43486,0.35912,0.0,1.0,1.0,8e-05,0.12342,0.58866,2e-05,0.0,0.0,0.00032,0.00031,0.58784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_1dp_N76.wcnf,118369.0,1023459.0,7e-05,1.0,0.0,1.0,1.0,0.11566,3e-05,3.54629,0.0,0.00058,0.00058,3e-05,0.27881,1e-05,0.00065,0.00064,0.42806,0.24284,0.02532,0.75,0.72468,0.43499,0.36036,0.0,1.0,1.0,7e-05,0.12205,0.58779,2e-05,0.0,0.0,0.00029,0.00029,0.58704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_1en2_N69.wcnf,91700.0,768015.0,9e-05,1.0,0.0,1.0,1.0,0.1194,4e-05,3.41203,0.0,0.0007,0.0007,4e-05,0.28014,1e-05,0.00076,0.00075,0.42888,0.24499,0.02778,0.75,0.72222,0.43451,0.35963,0.0,1.0,1.0,9e-05,0.1262,0.59059,2e-05,0.0,0.0,0.00035,0.00035,0.58999,NaN,NaN,1741.19,NaN,1226.14,NaN,549.36,523.17,495.88,484.65,NaN,1055.14,NaN,535.44,NaN,NaN,308.13,NaN,765.5
TWComp_alarm_N37.wcnf,19868.0,123493.0,0.00029,1.0,0.0,1.0,1.0,0.16088,0.00016,2.77619,2e-05,0.00228,0.00226,0.00016,0.28863,5e-05,0.00191,0.00186,0.43204,0.2578,0.05,0.75,0.7,0.43045,0.36841,0.0,1.0,1.0,0.00029,0.17248,0.6222,9e-05,0.0,2e-05,0.00115,0.00113,0.62167,NaN,NaN,1.67,0.06,0.12,NaN,0.28,2.07,0.15,0.14,1.01,21.42,0.06,0.28,NaN,NaN,0.06,NaN,20.74
TWComp_barle_N48.wcnf,38087.0,265442.0,0.00018,1.0,0.0,1.0,1.0,0.14349,9e-05,3.04839,1e-05,0.00139,0.00138,9e-05,0.28522,3e-05,0.00129,0.00126,0.4304,0.25196,0.03922,0.75,0.71078,0.43234,0.36343,0.0,1.0,1.0,0.00018,0.15263,0.60887,5e-05,0.0,1e-05,0.0007,0.00069,0.60839,NaN,NaN,12.56,3.08,3.35,NaN,2.24,8.04,3.13,3.36,5.03,72.19,3.07,2.54,NaN,NaN,2.57,NaN,71.94
TWComp_barley-pp_N26.wcnf,8176.0,43741.0,0.00057,1.0,0.0,1.0,1.0,0.18692,0.00039,2.42324,7e-05,0.00444,0.00437,0.00039,0.29361,0.00012,0.0033,0.00318,0.4342,0.26833,0.06897,0.75,0.68103,0.42836,0.37898,0.0,1.0,1.0,0.00057,0.20411,0.64278,0.00023,0.0,5e-05,0.00224,0.00219,0.641,NaN,NaN,0.85,0.2,0.26,NaN,0.22,1.04,0.3,0.29,0.48,3.72,0.41,0.23,NaN,NaN,0.3,NaN,3.82
TWComp_barley2_N48.wcnf,38087.0,265442.0,0.00018,1.0,0.0,1.0,1.0,0.14349,9e-05,3.04839,1e-05,0.00139,0.00138,9e-05,0.28522,3e-05,0.00129,0.00126,0.4304,0.25196,0.03922,0.75,0.71078,0.43234,0.36343,0.0,1.0,1.0,0.00018,0.15263,0.60887,5e-05,0.0,1e-05,0.0007,0.00069,0.60839,NaN,NaN,11.03,3.09,2.92,NaN,2.67,7.03,3.04,3.31,6.25,94.21,2.93,2.82,NaN,NaN,2.29,NaN,88.42
TWComp_celar02_N100.wcnf,227749.0,2284957.0,4e-05,1.0,0.0,1.0,1.0,0.09967,1e-05,3.81204,0.0,0.00034,0.00034,1e-05,0.27886,0.0,0.00044,0.00044,0.42739,0.23857,0.01942,0.75,0.73058,0.43397,0.3608,0.0,1.0,1.0,4e-05,0.10418,0.57535,1e-05,0.0,0.0,0.00017,0.00017,0.57522,NaN,NaN,70.94,2.84,3.35,NaN,13.52,50.68,4.14,4.14,35.72,26.03,2.85,13.87,NaN,NaN,2.93,NaN,2.44
TWComp_celar09pp_N67.wcnf,84687.0,703259.0,9e-05,1.0,0.0,1.0,1.0,0.12042,4e-05,3.36129,0.0,0.00074,0.00074,4e-05,0.27978,1e-05,0.0008,0.00079,0.42914,0.24569,0.02857,0.75,0.72143,0.43402,0.35997,0.0,1.0,1.0,9e-05,0.12704,0.59119,2e-05,0.0,0.0,0.00037,0.00037,0.59096,NaN,NaN,18.23,0.44,0.76,NaN,2.46,13.06,0.89,0.85,7.67,19.71,0.41,2.51,NaN,NaN,0.45,NaN,18.28
TWComp_david-pp_N29.wcnf,10584.0,60159.0,0.00047,1.0,0.0,1.0,1.0,0.17593,0.0003,2.51437,5e-05,0.00362,0.00357,0.0003,0.29216,9e-05,0.00283,0.00274,0.43406,0.26467,0.0625,0.75,0.6875,0.43012,0.37891,0.0,1.0,1.0,0.00047,0.19306,0.6351,0.00018,0.0,3e-05,0.00183,0.0018,0.63193,NaN,NaN,2.3,2.56,2.76,NaN,1.55,1.86,1.89,1.84,1.22,11.3,0.81,1.67,NaN,NaN,0.69,NaN,10.64
TWComp_david_N87.wcnf,164429.0,1520988.0,6e-05,1.0,0.0,1.0,1.0,0.10811,2e-05,3.69166,0.0,0.00045,0.00045,2e-05,0.27552,1e-05,0.00054,0.00053,0.42748,0.24053,0.02222,0.75,0.72778,0.43357,0.35882,0.0,1.0,1.0,6e-05,0.11335,0.58181,1e-05,0.0,0.0,0.00022,0.00022,0.58155,NaN,NaN,68.92,24.66,16.46,NaN,20.91,43.41,25.64,24.37,46.57,37.27,27.54,21.08,NaN,NaN,33.66,NaN,20.58
TWComp_eil51.tsp_N51.wcnf,44165.0,316999.0,0.00016,1.0,0.0,1.0,1.0,0.13932,7e-05,3.10719,1e-05,0.00124,0.00123,7e-05,0.28465,2e-05,0.00118,0.00115,0.4302,0.25032,0.03704,0.75,0.71296,0.43253,0.36268,0.0,1.0,1.0,0.00016,0.14796,0.60568,4e-05,0.0,1e-05,0.00062,0.00062,0.60524,NaN,NaN,614.74,NaN,NaN,NaN,NaN,1661.84,NaN,NaN,NaN,795.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_hailfinder_N56.wcnf,55299.0,416539.0,0.00013,1.0,0.0,1.0,1.0,0.13276,6e-05,3.20123,1e-05,0.00104,0.00103,6e-05,0.28278,2e-05,0.00103,0.00101,0.4298,0.24891,0.0339,0.75,0.7161,0.4325,0.36239,0.0,1.0,1.0,0.00013,0.14052,0.60058,3e-05,0.0,0.0,0.00052,0.00052,0.60034,NaN,NaN,10.41,0.26,0.53,NaN,1.28,7.44,0.55,0.55,4.29,18.86,0.28,1.31,NaN,NaN,0.47,NaN,19.04
TWComp_hepar2_N70.wcnf,95794.0,802039.0,9e-05,1.0,0.0,1.0,1.0,0.11944,3e-05,3.42849,0.0,0.00068,0.00068,3e-05,0.27952,1e-05,0.00074,0.00073,0.42863,0.24462,0.0274,0.75,0.7226,0.43435,0.35874,0.0,1.0,1.0,9e-05,0.12574,0.59041,2e-05,0.0,0.0,0.00034,0.00034,0.59021,NaN,NaN,24.22,0.61,0.87,NaN,2.86,15.04,1.1,1.07,8.76,19.72,0.6,3.15,NaN,NaN,0.57,NaN,18.93
TWComp_huck_N74.wcnf,110444.0,945314.0,8e-05,1.0,0.0,1.0,1.0,0.11683,3e-05,3.50766,0.0,0.00061,0.00061,3e-05,0.28128,1e-05,0.00068,0.00067,0.42824,0.24345,0.02597,0.75,0.72403,0.43464,0.35796,0.0,1.0,1.0,8e-05,0.12294,0.58848,2e-05,0.0,0.0,0.00031,0.0003,0.58816,NaN,NaN,30.41,1.2,1.4,NaN,4.15,18.64,1.49,1.49,11.76,20.8,0.82,4.16,NaN,NaN,0.75,NaN,18.15
TWComp_jean_N77.wcnf,121736.0,1062234.0,7e-05,1.0,0.0,1.0,1.0,0.1146,3e-05,3.54477,0.0,0.00057,0.00056,3e-05,0.27966,1e-05,0.00064,0.00063,0.42803,0.24252,0.025,0.75,0.725,0.43473,0.35725,0.0,1.0,1.0,7e-05,0.12042,0.58674,2e-05,0.0,0.0,0.00028,0.00028,0.5865,NaN,NaN,32.99,0.84,1.48,NaN,5.29,21.77,1.69,1.71,13.73,20.28,0.96,4.95,NaN,NaN,0.74,NaN,0.82
TWComp_mainuk_N48.wcnf,38087.0,265514.0,0.00018,1.0,0.0,1.0,1.0,0.14345,9e-05,3.04811,1e-05,0.00139,0.00138,9e-05,0.28527,3e-05,0.00129,0.00126,0.43042,0.25193,0.03922,0.75,0.71078,0.43249,0.36385,0.0,1.0,1.0,0.00018,0.15286,0.60897,5e-05,0.0,1e-05,0.0007,0.00069,0.60823,NaN,NaN,5.63,0.23,0.37,NaN,0.8,4.67,0.44,0.45,2.63,70.54,0.28,0.83,NaN,NaN,0.37,NaN,62.43
TWComp_mildew_35.wcnf,17149.0,104691.0,0.00032,1.0,0.0,1.0,1.0,0.16381,0.00019,2.71333,3e-05,0.00254,0.00251,0.00019,0.28914,6e-05,0.0021,0.00204,0.43252,0.25954,0.05263,0.75,0.69737,0.43015,0.37013,0.0,1.0,1.0,0.00032,0.17625,0.62457,0.00011,0.0,2e-05,0.00128,0.00126,0.62381,NaN,NaN,1.61,0.07,0.12,NaN,0.27,1.76,0.17,0.17,0.84,13.54,0.09,0.28,NaN,NaN,0.1,NaN,13.37
TWComp_miles500_N128.wcnf,399295.0,4700878.0,3e-05,1.0,0.0,1.0,1.0,0.08494,1e-05,0.0,0.0,0.00021,0.00021,1e-05,0.0,0.0,0.00032,0.00032,0.4264,0.23609,0.01527,0.75,0.73473,0.43722,0.0,0.0,1.0,1.0,3e-05,0.08867,0.56426,0.0,0.0,0.0,0.00011,0.00011,0.56401,NaN,NaN,377.09,278.92,245.04,NaN,1774.91,1332.05,1448.38,1434.62,594.04,NaN,NaN,1590.6,NaN,NaN,610.08,NaN,391.87
TWComp_mulsol.i.5-pp_N119.wcnf,341053.0,3803650.0,3e-05,1.0,0.0,1.0,1.0,0.08966,1e-05,0.0,0.0,0.00025,0.00025,1e-05,0.0,0.0,0.00035,0.00035,0.42689,0.23687,0.01639,0.75,0.73361,0.43742,0.0,0.0,1.0,1.0,3e-05,0.09406,0.56804,1e-05,0.0,0.0,0.00012,0.00012,0.56737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,381.06,NaN,NaN,1398.69,183.88,695.3,NaN,NaN,NaN,1760.82,NaN,NaN
TWComp_myciel4_N23.wcnf,6025.0,30519.0,0.00072,1.0,0.0,1.0,1.0,0.19742,0.00052,2.30888,0.0001,0.00557,0.00547,0.00052,0.29557,0.00017,0.00398,0.00382,0.43511,0.27092,0.07692,0.75,0.67308,0.42744,0.38375,0.0,1.0,1.0,0.00072,0.21701,0.6511,0.00032,0.0,7e-05,0.00282,0.00275,0.64878,NaN,NaN,9.67,141.88,19.39,NaN,9.4,18.74,19.02,20.0,16.7,28.65,15.77,9.7,NaN,NaN,16.74,NaN,28.44
TWComp_myciel5_N47.wcnf,36283.0,249849.0,0.00018,1.0,0.0,1.0,1.0,0.14522,9e-05,3.03204,1e-05,0.00145,0.00144,9e-05,0.28548,3e-05,0.00132,0.0013,0.43055,0.25179,0.04,0.75,0.71,0.43249,0.36439,0.0,1.0,1.0,0.00018,0.155,0.61042,5e-05,0.0,1e-05,0.00073,0.00072,0.60948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_oesoca+_N67.wcnf,84687.0,703302.0,9e-05,1.0,0.0,1.0,1.0,0.12041,4e-05,3.36128,0.0,0.00074,0.00074,4e-05,0.27978,1e-05,0.0008,0.00079,0.42915,0.24568,0.02857,0.75,0.72143,0.43406,0.36007,0.0,1.0,1.0,9e-05,0.12709,0.59122,2e-05,0.0,0.0,0.00037,0.00037,0.59092,NaN,NaN,461.43,488.28,169.43,NaN,91.46,147.66,190.89,202.56,168.83,197.37,173.63,96.63,NaN,NaN,146.74,NaN,146.16
TWComp_oesoca4_N42.wcnf,27656.0,179807.0,0.00023,1.0,0.0,1.0,1.0,0.15381,0.00012,2.92236,2e-05,0.00179,0.00177,0.00012,0.28704,4e-05,0.00155,0.00152,0.43098,0.25453,0.04444,0.75,0.70556,0.43147,0.36513,0.0,1.0,1.0,0.00023,0.16401,0.61669,7e-05,0.0,1e-05,0.0009,0.00089,0.61629,NaN,NaN,3.23,0.09,0.17,NaN,0.45,3.13,0.21,0.22,1.53,36.62,0.1,0.52,NaN,NaN,0.12,NaN,35.47
TWComp_oesoca_N39.wcnf,22931.0,144558.0,0.00026,1.0,0.0,1.0,1.0,0.15863,0.00014,2.84299,2e-05,0.00206,0.00204,0.00014,0.28809,4e-05,0.00174,0.0017,0.43153,0.25596,0.04762,0.75,0.70238,0.43082,0.36712,0.0,1.0,1.0,0.00026,0.1696,0.62042,8e-05,0.0,1e-05,0.00104,0.00102,0.61995,NaN,NaN,2.52,0.07,0.15,NaN,0.36,2.49,0.17,0.18,1.23,27.6,0.08,0.39,NaN,NaN,0.08,NaN,26.47
TWComp_pathfinder_N109.wcnf,278712.0,2940591.0,4e-05,1.0,0.0,1.0,1.0,0.09478,1e-05,3.89625,0.0,0.00029,0.00029,1e-05,0.26743,0.0,0.00039,0.00039,0.4273,0.23746,0.01786,0.75,0.73214,0.43699,0.36013,0.0,1.0,1.0,4e-05,0.09889,0.57161,1e-05,0.0,0.0,0.00015,0.00015,0.57154,NaN,NaN,63.56,2.01,3.47,NaN,16.14,67.05,3.89,3.75,43.23,24.97,1.78,16.08,NaN,NaN,3.1,NaN,2.02
TWComp_queen5_5_N25.wcnf,7274.0,38856.0,0.00062,1.0,0.0,1.0,1.0,0.1872,0.00043,2.36925,8e-05,0.00479,0.00471,0.00043,0.2942,0.00014,0.00357,0.00344,0.43514,0.26892,0.07143,0.75,0.67857,0.4292,0.38483,0.0,1.0,1.0,0.00062,0.20736,0.64422,0.00026,0.0,5e-05,0.00242,0.00237,0.64011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_queen6_6_N36.wcnf,18629.0,114280.0,0.00031,1.0,0.0,1.0,1.0,0.16301,0.00017,2.75131,3e-05,0.0024,0.00237,0.00017,0.28995,5e-05,0.00199,0.00193,0.43223,0.25841,0.05128,0.75,0.69872,0.43142,0.37203,0.0,1.0,1.0,0.00031,0.17687,0.62483,0.0001,0.0,2e-05,0.00121,0.00119,0.62229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_queen7_7_N49.wcnf,39542.0,281536.0,0.00017,1.0,0.0,1.0,1.0,0.14045,8e-05,3.04919,1e-05,0.00134,0.00133,8e-05,0.28461,3e-05,0.00126,0.00124,0.43062,0.25144,0.03846,0.75,0.71154,0.4331,0.366,0.0,1.0,1.0,0.00017,0.15066,0.60718,5e-05,0.0,1e-05,0.00067,0.00067,0.60549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TWComp_ship-ship-pp_N30.wcnf,11594.0,66448.0,0.00044,1.0,0.0,1.0,1.0,0.17448,0.00027,2.55478,5e-05,0.0034,0.00336,0.00028,0.29128,9e-05,0.00267,0.00259,0.43346,0.26464,0.06061,0.75,0.68939,0.42928,0.37435,0.0,1.0,1.0,0.00044,0.18916,0.63296,0.00016,0.0,3e-05,0.00172,0.00169,0.6318,NaN,NaN,202.28,166.02,61.61,NaN,42.6,85.97,61.02,61.0,156.29,77.0,48.42,46.42,NaN,NaN,46.47,NaN,80.58
TWComp_water_N32.wcnf,13423.0,80071.0,0.00039,1.0,0.0,1.0,1.0,0.16764,0.00024,2.60231,4e-05,0.00302,0.00298,0.00024,0.29045,7e-05,0.00246,0.00238,0.43337,0.26344,0.05714,0.75,0.69286,0.42994,0.37393,0.0,1.0,1.0,0.00039,0.18194,0.62794,0.00014,0.0,2e-05,0.00152,0.0015,0.62641,NaN,NaN,1.72,1.41,1.23,NaN,1.46,1.92,0.52,0.56,1.51,10.82,1.01,1.42,NaN,NaN,0.33,NaN,10.01
TWComp_win95pts_N76.wcnf,118369.0,1022915.0,7e-05,1.0,0.0,1.0,1.0,0.11572,3e-05,3.54686,0.0,0.00058,0.00058,3e-05,0.27822,1e-05,0.00065,0.00064,0.42804,0.2428,0.02532,0.75,0.72468,0.43469,0.35727,0.0,1.0,1.0,7e-05,0.12158,0.58758,2e-05,0.0,0.0,0.00029,0.00029,0.58736,NaN,NaN,33.55,1.28,2.85,NaN,5.02,20.98,2.29,2.24,12.23,21.45,2.26,4.93,NaN,NaN,1.63,NaN,1.41
atcoss_mesat_01.wcnf,321384.0,969761.0,0.00031,1.0,0.0,1.0,1.0,0.33141,1e-05,0.0,0.0,0.09301,0.09301,1e-05,0.0,0.0,1e-05,1e-05,0.48297,0.27291,0.0,1.0,1.0,0.4471,0.0,0.0,1.0,1.0,0.05329,0.33393,0.41801,0.0,0.0,0.0,0.04764,0.04764,0.54148,NaN,NaN,160.24,244.35,266.05,NaN,66.87,57.23,266.03,263.87,62.63,237.9,237.89,69.53,NaN,NaN,151.34,NaN,376.3
atcoss_mesat_02.wcnf,322127.0,1021283.0,0.00029,1.0,0.0,1.0,1.0,0.31541,1e-05,28.52978,0.0,0.08832,0.08832,1e-05,0.0,0.0,1e-05,1e-05,0.48311,0.27296,0.0,1.0,1.0,0.44559,0.47824,0.0,1.0,1.0,0.05065,0.31839,0.39809,0.0,0.0,0.0,0.04524,0.04524,0.5322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
atcoss_mesat_03.wcnf,321140.0,969655.0,0.00031,1.0,0.0,1.0,1.0,0.33119,1e-05,0.0,0.0,0.09302,0.09302,1e-05,0.0,0.0,1e-05,1e-05,0.48288,0.27279,0.0,1.0,1.0,0.44707,0.0,0.0,1.0,1.0,0.05328,0.33414,0.41794,0.0,0.0,0.0,0.04765,0.04765,0.54171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
atcoss_mesat_04.wcnf,450890.0,1515125.0,0.0002,1.0,0.0,1.0,1.0,0.29759,1e-05,0.0,0.0,0.09796,0.09796,1e-05,0.0,0.0,1e-05,1e-05,0.48412,0.28135,0.0,1.0,1.0,0.44778,0.0,0.0,1.0,1.0,0.0484,0.28849,0.36943,0.0,0.0,0.0,0.05,0.05,0.51384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
atcoss_mesat_05.wcnf,450157.0,1463573.0,0.00021,1.0,0.0,1.0,1.0,0.30757,1e-05,0.0,0.0,0.10141,0.10141,1e-05,0.0,0.0,1e-05,1e-05,0.48402,0.28135,0.0,1.0,1.0,0.44886,0.0,0.0,1.0,1.0,0.05007,0.29769,0.3816,0.0,0.0,0.0,0.05176,0.05176,0.5193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
