Instances,feature_ VariableCount,feature_ VPOPSMean,feature_ POPSCount,feature_ PSSMaximum,feature_ PSSMean,feature_ PSSStandardDeviation,feature_ VPOPSMaximum,feature_ VPOPSStandardDeviation,feature_ PatterndatabaselowerboundIndegreeMaximum,feature_ PatterndatabaselowerboundIndegreeMean,feature_ PatterndatabaselowerboundIndegreeStandardDeviation,feature_ PatterndatabaselowerboundLeafCount,feature_ PatterndatabaselowerboundNTCCount,feature_ PatterndatabaselowerboundNTCMax,feature_ PatterndatabaselowerboundNTCMean,feature_ PatterndatabaselowerboundNTCStandardDeviation,feature_ PatterndatabaselowerboundOutdegreeMaximum,feature_ PatterndatabaselowerboundOutdegreeMean,feature_ PatterndatabaselowerboundOutdegreeStandardDeviation,feature_ PatterndatabaselowerboundRootCount,feature_ PatterndatabaselowerboundTotalDegreeMaximum,feature_ PatterndatabaselowerboundTotalDegreeMean,feature_ PatterndatabaselowerboundTotalDegreeStandardDeviation,feature_ SimplelowerboundIndegreeMaximum,feature_ SimplelowerboundIndegreeMean,feature_ SimplelowerboundIndegreeStandardDeviation,feature_ SimplelowerboundLeafCount,feature_ SimplelowerboundNTCCount,feature_ SimplelowerboundNTCMax,feature_ SimplelowerboundNTCMean,feature_ SimplelowerboundNTCStandardDeviation,feature_ SimplelowerboundOutdegreeMaximum,feature_ SimplelowerboundOutdegreeMean,feature_ SimplelowerboundOutdegreeStandardDeviation,feature_ SimplelowerboundRootCount,feature_ SimplelowerboundTotalDegreeMaximum,feature_ SimplelowerboundTotalDegreeMean,feature_ SimplelowerboundTotalDegreeStandardDeviation,feature_ GreedyhillclimbingErrorbound,feature_ GreedyhillclimbingIndegreeMaximum,feature_ GreedyhillclimbingIndegreeMean,feature_ GreedyhillclimbingIndegreeStandardDeviation,feature_ GreedyhillclimbingLeafCount,feature_ GreedyhillclimbingOutdegreeMaximum,feature_ GreedyhillclimbingOutdegreeMean,feature_ GreedyhillclimbingOutdegreeStandardDeviation,feature_ GreedyhillclimbingRootCount,feature_ GreedyhillclimbingTotalDegreeMaximum,feature_ GreedyhillclimbingTotalDegreeMean,feature_ GreedyhillclimbingTotalDegreeStandardDeviation,feature_ AnytimewindowA*Errorbound,feature_ AnytimewindowA*IndegreeMaximum,feature_ AnytimewindowA*IndegreeMean,feature_ AnytimewindowA*IndegreeStandardDeviation,feature_ AnytimewindowA*LeafCount,feature_ AnytimewindowA*OutdegreeMaximum,feature_ AnytimewindowA*OutdegreeMean,feature_ AnytimewindowA*OutdegreeStandardDeviation,feature_ AnytimewindowA*RootCount,feature_ AnytimewindowA*TotalDegreeMaximum,feature_ AnytimewindowA*TotalDegreeMean,feature_ AnytimewindowA*TotalDegreeStandardDeviation,feature_ GOBNILPErrorbound,feature_ GOBNILPIndegreeMaximum,feature_ GOBNILPIndegreeMean,feature_ GOBNILPIndegreeStandardDeviation,feature_ GOBNILPLeafCount,feature_ GOBNILPOutdegreeMaximum,feature_ GOBNILPOutdegreeMean,feature_ GOBNILPOutdegreeStandardDeviation,feature_ GOBNILPRootCount,feature_ GOBNILPTotalDegreeMaximum,feature_ GOBNILPTotalDegreeMean,feature_ GOBNILPTotalDegreeStandardDeviation,feature_ CPBayesErrorbound,feature_ CPBayesIndegreeMaximum,feature_ CPBayesIndegreeMean,feature_ CPBayesIndegreeStandardDeviation,feature_ CPBayesLeafCount,feature_ CPBayesOutdegreeMaximum,feature_ CPBayesOutdegreeMean,feature_ CPBayesOutdegreeStandardDeviation,feature_ CPBayesRootCount,feature_ CPBayesTotalDegreeMaximum,feature_ CPBayesTotalDegreeMean,feature_ CPBayesTotalDegreeStandardDeviation,algo_astar-ec,algo_astar-ed3,algo_astar-comp,algo_cpbayes,algo_ilp-141,algo_ilp-141-nc,algo_ilp-162,algo_ilp-162-nc
hypothyroid_bdeu-0.1-4,0.36,3.0,1.5,0.96,10.0,9.0,1.5,2.2,2.0,11.0,3.0,2.53,0.1,3.0,1.59,0.85,9.0,10.0,1.59,2.46,1.0,11.0,3.18,2.56,0.0,3.0,1.59,0.91,8.0,9.0,1.59,2.26,2.0,11.0,3.18,2.56,1.25,3.0,1.59,0.8,9.0,9.0,1.59,2.59,1.0,11.0,3.18,2.56,1052.0,4.0,2.62,1.04,4.0,1.95,1.05,6.0,2.0,8.0,5.5,3.54,11.0,1.95,2.63,0.0,15.0,3.91,3.39,4.0,2.05,1.09,7.0,1.0,12.0,12.0,0.0,9.0,2.05,2.57,0.0,13.0,4.09,3.44,440.0,47.82,100.11,22.0,3.28,6.46,93.0,0.98,0.34,3.67,0.82,1.41
hypothyroid_bdeu-0.1-5,0.49,3.0,1.55,1.01,9.0,8.0,1.55,2.04,2.0,11.0,3.09,2.51,0.1,3.0,1.59,0.85,9.0,10.0,1.59,2.46,1.0,11.0,3.18,2.56,0.0,3.0,1.59,0.91,8.0,9.0,1.59,2.26,2.0,11.0,3.18,2.56,1.33,3.0,1.64,0.79,10.0,8.0,1.64,2.42,1.0,11.0,3.27,2.66,1109.0,5.0,2.74,1.14,4.0,1.95,1.05,6.0,2.0,8.0,5.5,3.54,11.0,1.95,2.63,0.0,15.0,3.91,3.39,5.0,2.09,1.19,7.0,1.0,12.0,12.0,0.0,9.0,2.09,2.6,0.0,14.0,4.18,3.61,491.0,50.41,110.14,22.0,4.0,6.54,93.66,1.02,0.36,3.49,0.86,2.26
hypothyroid_bdeu-1,0.93,3.0,1.59,0.85,8.0,8.0,1.59,2.32,2.0,10.0,3.18,2.54,0.1,3.0,1.68,0.89,9.0,11.0,1.68,2.68,1.0,11.0,3.36,2.56,0.0,3.0,1.68,0.89,9.0,10.0,1.68,2.57,1.0,11.0,3.36,2.56,1.48,3.0,1.73,0.88,7.0,10.0,1.73,2.55,1.0,11.0,3.45,2.61,1981.0,7.0,3.04,1.19,5.0,2.18,1.14,6.0,1.0,12.0,12.0,0.0,11.0,2.18,2.86,0.0,16.0,4.36,3.71,7.0,2.32,1.43,5.0,2.0,14.0,8.0,8.49,10.0,2.32,2.8,0.0,17.0,4.64,3.97,930.0,90.05,204.72,22.0,5.47,8.98,168.09,1.36,0.52,6.7,2.99,3.91
hypothyroid_bdeu-1-2,0.0,2.0,1.45,0.6,10.0,9.0,1.45,2.34,1.0,11.0,2.91,2.52,0.1,2.0,1.45,0.67,10.0,9.0,1.45,2.46,2.0,11.0,2.91,2.37,0.0,2.0,1.45,0.6,10.0,9.0,1.45,2.34,1.0,11.0,2.91,2.52,0.97,2.0,1.45,0.6,10.0,9.0,1.45,2.34,1.0,11.0,2.91,2.52,643.0,2.0,1.65,0.54,2.0,1.64,0.49,9.0,1.0,5.0,5.0,0.0,11.0,1.64,2.68,0.0,13.0,3.27,2.85,2.0,1.68,0.48,7.0,3.0,9.0,4.33,4.04,10.0,1.68,2.38,0.0,12.0,3.36,2.56,104.0,29.23,27.49,22.0,0.32,2.96,63.21,0.9,3.67,10.34,1.4,4.63
hypothyroid_bdeu-1-3,0.0,3.0,1.68,0.89,9.0,10.0,1.68,2.51,1.0,11.0,3.36,2.56,0.1,3.0,1.68,0.89,9.0,11.0,1.68,2.68,1.0,11.0,3.36,2.56,0.0,3.0,1.68,0.89,9.0,10.0,1.68,2.51,1.0,11.0,3.36,2.56,1.35,3.0,1.68,0.89,9.0,10.0,1.68,2.51,1.0,11.0,3.36,2.56,1270.0,3.0,2.32,0.78,3.0,2.05,0.9,7.0,1.0,11.0,11.0,0.0,11.0,2.05,2.85,0.0,14.0,4.09,3.31,3.0,2.05,0.84,7.0,2.0,11.0,6.5,6.36,10.0,2.05,2.73,0.0,13.0,4.09,3.21,390.0,57.73,92.95,22.0,2.05,5.96,59.78,1.03,0.42,10.65,1.25,4.92
hypothyroid_bdeu-1-4,0.22,3.0,1.64,1.0,8.0,8.0,1.64,2.28,2.0,11.0,3.27,2.53,0.1,3.0,1.68,0.89,9.0,11.0,1.68,2.68,1.0,11.0,3.36,2.56,0.0,3.0,1.68,0.89,9.0,10.0,1.68,2.51,1.0,11.0,3.36,2.56,1.5,4.0,1.86,0.94,7.0,12.0,1.86,3.0,1.0,12.0,3.73,2.86,1773.0,4.0,2.8,1.0,4.0,2.14,1.04,7.0,1.0,11.0,11.0,0.0,11.0,2.14,2.88,0.0,15.0,4.27,3.6,4.0,2.18,1.05,7.0,2.0,11.0,6.5,6.36,10.0,2.18,2.86,0.0,14.0,4.36,3.63,743.0,80.59,167.41,22.0,4.07,7.94,118.9,1.16,0.41,5.97,2.35,4.97
hypothyroid_bdeu-1-5,0.59,3.0,1.64,0.9,8.0,8.0,1.64,2.44,2.0,11.0,3.27,2.68,0.1,3.0,1.68,0.89,9.0,11.0,1.68,2.68,1.0,11.0,3.36,2.56,0.0,3.0,1.68,0.89,9.0,10.0,1.68,2.51,1.0,11.0,3.36,2.56,1.49,3.0,1.77,0.87,6.0,10.0,1.77,2.45,1.0,11.0,3.55,2.46,1960.0,5.0,3.01,1.15,5.0,2.18,1.14,6.0,1.0,12.0,12.0,0.0,11.0,2.18,2.86,0.0,16.0,4.36,3.71,5.0,2.23,1.15,7.0,2.0,12.0,7.0,7.07,10.0,2.23,2.86,0.0,15.0,4.45,3.75,909.0,89.09,200.62,22.0,5.26,8.85,120.71,1.37,0.48,6.35,2.78,6.16
hypothyroid_bdeu-1-6,0.93,3.0,1.59,0.85,8.0,8.0,1.59,2.32,2.0,10.0,3.18,2.54,0.1,3.0,1.68,0.89,9.0,11.0,1.68,2.68,1.0,11.0,3.36,2.56,0.0,3.0,1.68,0.89,9.0,10.0,1.68,2.51,1.0,11.0,3.36,2.56,1.49,4.0,1.82,0.96,7.0,10.0,1.82,2.82,1.0,11.0,3.64,2.74,1980.0,6.0,3.04,1.19,5.0,2.18,1.14,6.0,1.0,12.0,12.0,0.0,11.0,2.18,2.86,0.0,16.0,4.36,3.71,6.0,2.27,1.28,6.0,2.0,13.0,7.5,7.78,10.0,2.27,2.83,0.0,16.0,4.55,3.85,929.0,90.0,204.52,22.0,5.5,9.02,168.35,1.36,0.52,5.45,2.26,4.13
hypothyroid_bdeu-10,1.1,5.0,3.14,1.36,8.0,12.0,3.14,3.52,1.0,13.0,6.27,3.24,0.7,5.0,3.05,1.21,6.0,13.0,3.05,3.58,1.0,15.0,6.09,3.1,1.59,5.0,3.09,1.19,7.0,11.0,3.09,3.45,1.0,13.0,6.18,3.08,2.15,5.0,3.14,1.28,5.0,14.0,3.14,3.68,1.0,14.0,6.27,3.22,21080.0,7.0,3.5,0.94,5.0,3.77,0.81,3.0,1.0,19.0,19.0,0.0,12.0,3.77,3.56,0.0,17.0,7.55,3.86,7.0,3.95,1.13,3.0,1.0,17.0,17.0,0.0,12.0,3.95,3.5,0.0,18.0,7.91,4.22,2583.0,958.18,713.8,22.0,10.78,14.9,43.7,186.22,1212.33,1390.56,1082.28,767.79
hypothyroid_bdeu-10-2,0.0,2.0,1.82,0.59,8.0,10.0,1.82,2.54,2.0,12.0,3.64,2.56,0.4,2.0,1.86,0.47,7.0,10.0,1.86,2.57,1.0,12.0,3.73,2.41,0.03,2.0,1.86,0.47,7.0,10.0,1.86,2.73,1.0,12.0,3.73,2.53,1.21,2.0,1.86,0.47,7.0,10.0,1.86,2.71,1.0,12.0,3.73,2.53,2698.0,2.0,1.88,0.35,2.0,2.0,0.0,7.0,1.0,14.0,14.0,0.0,12.0,2.0,2.78,0.0,14.0,4.0,2.78,2.0,2.0,0.0,5.0,3.0,10.0,5.0,4.36,11.0,2.0,2.45,0.0,13.0,4.0,2.45,210.0,122.64,33.06,22.0,0.34,2.94,50.01,1.26,8.18,16.64,5.58,12.75
hypothyroid_bdeu-10-3,0.0,3.0,2.59,0.85,6.0,12.0,2.59,3.38,1.0,13.0,5.18,3.06,0.7,3.0,2.64,0.85,9.0,11.0,2.64,3.49,1.0,14.0,5.27,3.4,0.22,3.0,2.59,0.8,9.0,10.0,2.59,3.25,1.0,13.0,5.18,2.97,1.75,3.0,2.68,0.78,8.0,12.0,2.68,3.37,1.0,13.0,5.36,3.13,10414.0,3.0,2.71,0.52,3.0,2.95,0.21,4.0,1.0,18.0,18.0,0.0,13.0,2.95,3.61,0.0,16.0,5.91,3.62,3.0,2.95,0.21,5.0,1.0,15.0,15.0,0.0,12.0,2.95,3.54,0.0,15.0,5.91,3.57,921.0,473.36,213.24,22.0,2.26,5.86,36.62,17.69,322.73,332.12,211.74,242.78
hypothyroid_bdeu-10-4,0.96,4.0,3.0,1.11,5.0,10.0,3.0,2.79,1.0,13.0,6.0,2.86,0.7,4.0,2.91,1.02,6.0,12.0,2.91,3.37,1.0,14.0,5.82,2.91,1.78,4.0,2.95,1.0,6.0,10.0,2.95,3.05,1.0,12.0,5.91,2.81,2.02,4.0,3.0,1.02,5.0,13.0,3.0,3.34,1.0,13.0,6.0,2.83,18510.0,4.0,3.27,0.75,4.0,3.59,0.59,2.0,1.0,20.0,20.0,0.0,12.0,3.59,3.43,0.0,16.0,7.18,3.63,4.0,3.55,0.6,3.0,1.0,15.0,15.0,0.0,11.0,3.55,3.38,0.0,15.0,7.09,3.62,1910.0,841.36,537.42,22.0,7.33,11.98,39.03,106.71,1016.0,1190.22,1121.21,1148.13
hypothyroid_bdeu-10-5,1.08,5.0,3.14,1.36,8.0,12.0,3.14,3.52,1.0,13.0,6.27,3.24,0.7,5.0,3.05,1.21,6.0,13.0,3.05,3.58,1.0,15.0,6.09,3.1,1.8,5.0,3.27,1.24,8.0,11.0,3.27,3.71,1.0,13.0,6.55,3.22,2.12,5.0,3.0,1.2,5.0,12.0,3.0,3.06,1.0,13.0,6.0,3.02,20795.0,5.0,3.46,0.89,5.0,3.77,0.81,3.0,1.0,19.0,19.0,0.0,12.0,3.77,3.56,0.0,17.0,7.55,3.86,5.0,3.86,0.94,3.0,1.0,16.0,16.0,0.0,12.0,3.86,3.54,0.0,17.0,7.73,4.05,2371.0,945.23,685.57,22.0,9.96,14.15,43.06,160.67,1069.56,1193.45,839.75,1033.99
hypothyroid_bdeu-10-6,1.1,5.0,3.14,1.36,8.0,12.0,3.14,3.52,1.0,13.0,6.27,3.24,0.7,5.0,3.05,1.21,6.0,13.0,3.05,3.58,1.0,15.0,6.09,3.1,1.58,5.0,3.09,1.19,7.0,11.0,3.09,3.45,1.0,13.0,6.18,3.08,2.15,5.0,3.18,1.33,5.0,13.0,3.18,3.58,1.0,14.0,6.36,3.39,21056.0,6.0,3.49,0.93,5.0,3.77,0.81,3.0,1.0,19.0,19.0,0.0,12.0,3.77,3.56,0.0,17.0,7.55,3.86,6.0,3.91,1.02,3.0,1.0,17.0,17.0,0.0,12.0,3.91,3.5,0.0,17.0,7.82,4.11,2559.0,957.09,711.22,22.0,10.96,15.17,45.41,189.99,1217.09,1118.32,1304.04,898.72
hypothyroid_bdeu-100-2,0.0,2.0,1.86,0.47,11.0,11.0,1.86,2.92,1.0,12.0,3.73,2.66,0.8,2.0,1.86,0.47,11.0,11.0,1.86,2.85,1.0,12.0,3.73,2.66,0.11,2.0,1.86,0.47,11.0,11.0,1.86,3.08,1.0,12.0,3.73,2.73,1.55,2.0,1.86,0.47,9.0,13.0,1.86,3.01,1.0,14.0,3.73,2.83,4943.0,2.0,1.9,0.31,2.0,2.0,0.0,9.0,1.0,8.0,8.0,0.0,12.0,2.0,3.09,0.0,14.0,4.0,3.09,2.0,2.0,0.0,7.0,3.0,10.0,4.67,4.62,13.0,2.0,3.07,0.0,15.0,4.0,3.07,232.0,224.68,9.7,22.0,0.31,2.56,41.83,1.1,59.5,65.32,46.69,52.13
hypothyroid_bdeu-100-3,0.0,3.0,2.73,0.77,8.0,10.0,2.73,3.33,1.0,13.0,5.45,3.2,1.0,3.0,2.73,0.77,9.0,14.0,2.73,3.95,1.0,14.0,5.45,3.33,2.4,3.0,2.73,0.77,7.0,12.0,2.73,3.82,1.0,15.0,5.45,3.46,2.41,3.0,2.73,0.77,8.0,10.0,2.73,3.17,1.0,12.0,5.45,2.86,33081.0,3.0,2.84,0.41,3.0,3.0,0.0,5.0,1.0,15.0,15.0,0.0,12.0,3.0,3.68,0.0,15.0,6.0,3.68,3.0,3.0,0.0,6.0,2.0,12.0,7.5,6.36,12.0,3.0,3.59,0.0,15.0,6.0,3.59,1562.0,1503.68,79.79,22.0,2.01,7.28,64.32,14.85,NaN,NaN,NaN,NaN
hypothyroid_bdeu-100-4,0.87,4.0,3.5,1.14,7.0,13.0,3.5,3.84,1.0,14.0,7.0,3.35,-1.0,4.0,4.0,0.0,2.0,13.0,4.0,3.84,0.0,17.0,8.0,3.84,-1.0,4.0,4.0,0.0,2.0,13.0,4.0,3.84,0.0,17.0,8.0,3.84,3.38,4.0,3.55,1.1,7.0,15.0,3.55,4.04,1.0,16.0,7.09,3.57,151322.0,4.0,3.75,0.52,4.0,4.0,0.0,3.0,1.0,18.0,18.0,0.0,13.0,4.0,3.84,0.0,17.0,8.0,3.84,4.0,4.0,0.0,2.0,1.0,20.0,20.0,0.0,13.0,4.0,3.84,0.0,17.0,8.0,3.84,7531.0,6878.27,673.91,22.0,14.06,24.95,139.37,360.23,NaN,NaN,NaN,NaN
hypothyroid_bdeu-100-5,1.4,5.0,4.27,1.45,5.0,13.0,4.27,4.33,1.0,16.0,8.55,3.53,-1.0,5.0,4.95,0.21,1.0,15.0,4.95,4.12,0.0,20.0,9.91,4.17,-1.0,5.0,4.95,0.21,1.0,15.0,4.95,4.12,0.0,20.0,9.91,4.17,4.02,5.0,4.23,1.45,4.0,18.0,4.23,4.31,1.0,19.0,8.45,3.58,454138.0,5.0,4.58,0.66,5.0,4.95,0.21,2.0,1.0,20.0,20.0,0.0,14.0,4.95,4.12,0.0,19.0,9.91,4.16,5.0,4.95,0.21,1.0,1.0,21.0,21.0,0.0,15.0,4.95,4.12,0.0,20.0,9.91,4.17,26342.0,20642.64,4284.61,22.0,73.52,100.74,297.67,2323.85,NaN,NaN,NaN,NaN
hypothyroid_bdeu-100-6,1.63,6.0,4.77,1.8,2.0,14.0,4.77,4.2,1.0,16.0,9.55,3.36,-1.0,6.0,5.77,0.53,0.0,15.0,5.77,3.84,0.0,21.0,11.55,4.07,-1.0,6.0,5.77,0.53,0.0,15.0,5.77,3.84,0.0,21.0,11.55,4.07,4.09,6.0,4.86,1.81,3.0,13.0,4.86,4.03,1.0,18.0,9.73,3.4,817619.0,6.0,5.21,0.86,6.0,5.68,0.57,1.0,1.0,21.0,21.0,0.0,15.0,5.68,3.93,0.0,21.0,11.36,4.18,6.0,5.77,0.53,0.0,1.0,22.0,22.0,0.0,15.0,5.77,3.84,0.0,21.0,11.55,4.07,58419.0,37164.5,12682.06,22.0,182.7,229.21,462.96,NaN,NaN,NaN,NaN,NaN
hypothyroid_bic,0.0,3.0,1.27,0.63,12.0,8.0,1.27,2.21,1.0,10.0,2.55,2.4,0.1,3.0,1.27,0.63,13.0,10.0,1.27,2.47,1.0,10.0,2.55,2.4,0.0,3.0,1.27,0.63,11.0,8.0,1.27,2.19,1.0,10.0,2.55,2.4,0.8,3.0,1.27,0.63,12.0,8.0,1.27,2.23,1.0,10.0,2.55,2.4,371.0,3.0,1.76,0.83,3.0,1.36,0.58,12.0,1.0,3.0,3.0,0.0,10.0,1.36,2.48,0.0,12.0,2.73,2.71,3.0,1.59,0.85,10.0,2.0,8.0,5.0,4.24,9.0,1.59,2.4,0.0,12.0,3.18,3.06,98.0,16.86,23.24,22.0,0.54,3.31,502.29,0.85,0.08,3.08,0.3,0.73
hypothyroid_bic-2,0.0,2.0,1.23,0.53,11.0,8.0,1.23,2.07,1.0,10.0,2.45,2.3,0.1,2.0,1.27,0.55,12.0,10.0,1.27,2.45,1.0,10.0,2.55,2.4,0.0,2.0,1.23,0.53,11.0,8.0,1.23,2.07,1.0,10.0,2.45,2.3,0.85,2.0,1.27,0.55,11.0,9.0,1.27,2.27,1.0,10.0,2.55,2.4,301.0,2.0,1.47,0.63,2.0,1.36,0.49,11.0,1.0,6.0,6.0,0.0,10.0,1.36,2.44,0.0,12.0,2.73,2.71,2.0,1.36,0.49,10.0,3.0,5.0,3.0,1.73,9.0,1.36,2.19,0.0,11.0,2.73,2.49,65.0,13.68,15.57,22.0,0.35,2.86,327.16,0.82,0.12,1.62,0.36,0.74
insurance_10000_bdeu-0.1-2,8.88,2.0,1.56,0.58,10.0,5.0,1.56,1.74,1.0,7.0,3.11,1.67,3.8,2.0,1.59,0.57,12.0,6.0,1.59,1.95,1.0,7.0,3.19,1.62,0.0,2.0,1.67,0.55,10.0,6.0,1.67,1.82,1.0,7.0,3.33,1.64,14.53,2.0,1.74,0.53,10.0,6.0,1.74,1.91,1.0,8.0,3.48,1.87,1694.0,2.0,1.74,0.47,2.0,1.89,0.32,8.0,3.0,6.0,4.33,2.08,6.0,1.89,1.76,0.0,8.0,3.78,1.89,2.0,1.93,0.27,7.0,6.0,6.0,3.17,1.6,6.0,1.93,1.71,0.0,8.0,3.85,1.81,164.0,62.74,33.9,27.0,107.92,129.63,22.32,69.15,3.97,7.98,4.42,6.99
insurance_10000_bdeu-0.1-3,10.75,3.0,1.67,0.78,8.0,6.0,1.67,1.75,2.0,8.0,3.33,1.84,2.3,3.0,1.63,0.69,8.0,6.0,1.63,1.8,1.0,7.0,3.26,1.58,0.16,3.0,1.63,0.79,9.0,5.0,1.63,1.69,3.0,7.0,3.26,1.79,16.17,3.0,1.74,0.66,10.0,6.0,1.74,1.85,1.0,7.0,3.48,1.78,2701.0,3.0,2.21,0.71,3.0,2.19,0.62,5.0,4.0,10.0,5.25,3.59,6.0,2.19,1.75,0.0,8.0,4.37,2.06,3.0,2.48,0.64,5.0,3.0,11.0,7.33,4.04,7.0,2.48,2.05,0.0,10.0,4.96,2.53,347.0,100.04,72.94,27.0,396.2,506.59,88.9,79.15,5.99,10.82,5.86,9.08
insurance_10000_bdeu-0.1-4,11.19,3.0,1.67,0.78,8.0,6.0,1.67,1.75,2.0,8.0,3.33,1.84,2.4,3.0,1.67,0.73,9.0,7.0,1.67,1.94,1.0,7.0,3.33,1.66,0.44,4.0,1.7,0.95,7.0,5.0,1.7,1.61,3.0,7.0,3.41,1.69,16.16,3.0,1.78,0.7,10.0,7.0,1.78,2.03,1.0,9.0,3.56,2.06,2905.0,4.0,2.34,0.83,4.0,2.22,0.7,5.0,4.0,10.0,5.25,3.59,6.0,2.22,1.78,0.0,9.0,4.44,2.15,4.0,2.7,0.91,3.0,1.0,24.0,24.0,0.0,7.0,2.7,2.02,0.0,11.0,5.41,2.83,386.0,107.59,82.25,27.0,449.63,547.29,640.12,88.12,6.36,10.52,7.14,9.27
insurance_10000_bdeu-0.1-6,11.19,3.0,1.67,0.78,8.0,6.0,1.67,1.75,2.0,8.0,3.33,1.84,2.4,3.0,1.59,0.75,9.0,7.0,1.59,1.87,2.0,7.0,3.19,1.64,0.2,3.0,1.67,0.73,7.0,5.0,1.67,1.66,1.0,7.0,3.33,1.66,16.41,4.0,1.93,0.78,8.0,5.0,1.93,1.71,1.0,7.0,3.85,1.88,2916.0,5.0,2.35,0.84,4.0,2.22,0.7,5.0,4.0,10.0,5.25,3.59,6.0,2.22,1.78,0.0,9.0,4.44,2.15,5.0,2.74,0.98,3.0,1.0,24.0,24.0,0.0,7.0,2.74,1.99,0.0,11.0,5.48,2.86,386.0,108.0,82.52,27.0,524.72,568.35,713.61,87.69,6.97,11.89,5.16,11.55
insurance_10000_bdeu-1-2,8.92,2.0,1.59,0.64,10.0,6.0,1.59,1.69,2.0,8.0,3.19,1.8,3.7,2.0,1.67,0.55,10.0,6.0,1.67,1.9,1.0,7.0,3.33,1.64,0.49,2.0,1.67,0.55,9.0,6.0,1.67,1.9,1.0,8.0,3.33,1.9,14.62,2.0,1.67,0.62,10.0,6.0,1.67,1.8,2.0,7.0,3.33,1.71,2093.0,2.0,1.78,0.44,2.0,1.89,0.32,8.0,3.0,6.0,4.33,2.08,6.0,1.89,1.76,0.0,8.0,3.78,1.89,2.0,1.93,0.27,7.0,6.0,6.0,3.17,1.6,6.0,1.93,1.71,0.0,8.0,3.85,1.81,223.0,77.52,43.82,27.0,109.43,130.23,31.98,69.15,10.1,15.93,7.52,9.3
insurance_10000_bdeu-1-3,11.02,3.0,1.67,0.83,8.0,6.0,1.67,1.64,3.0,8.0,3.33,1.84,3.9,3.0,1.63,0.74,8.0,6.0,1.63,1.74,2.0,7.0,3.26,1.58,0.77,3.0,1.7,0.78,8.0,7.0,1.7,1.94,2.0,8.0,3.41,1.82,16.24,3.0,1.85,0.77,8.0,7.0,1.85,1.97,1.0,7.0,3.7,1.92,3673.0,3.0,2.3,0.69,3.0,2.22,0.64,5.0,4.0,10.0,5.25,3.59,6.0,2.22,1.83,0.0,9.0,4.44,2.12,3.0,2.52,0.64,5.0,4.0,11.0,5.5,3.79,7.0,2.52,2.1,0.0,10.0,5.04,2.56,500.0,136.04,103.27,27.0,469.8,562.93,146.81,91.45,16.99,21.74,13.8,20.7
insurance_10000_bdeu-1-4,12.22,4.0,1.7,0.87,7.0,7.0,1.7,1.88,2.0,9.0,3.41,1.97,6.2,3.0,1.63,0.74,11.0,6.0,1.63,1.88,2.0,7.0,3.26,1.61,0.33,4.0,1.85,0.86,6.0,6.0,1.85,1.77,2.0,9.0,3.7,1.94,16.28,3.0,1.85,0.77,7.0,7.0,1.85,1.88,1.0,7.0,3.7,1.88,4078.0,4.0,2.47,0.83,4.0,2.26,0.71,5.0,4.0,10.0,5.25,3.59,6.0,2.26,1.85,0.0,9.0,4.52,2.21,4.0,2.81,0.96,3.0,1.0,24.0,24.0,0.0,8.0,2.81,2.15,0.0,12.0,5.63,2.99,583.0,151.04,123.56,27.0,521.92,708.55,517.02,94.53,13.05,19.13,12.98,21.33
insurance_10000_bdeu-1-5,12.22,4.0,1.7,0.87,7.0,7.0,1.7,1.88,2.0,9.0,3.41,1.97,4.7,3.0,1.67,0.78,9.0,7.0,1.67,1.88,2.0,7.0,3.33,1.66,0.25,3.0,1.7,0.78,7.0,6.0,1.7,1.68,2.0,8.0,3.41,1.74,16.17,3.0,1.74,0.81,7.0,6.0,1.74,1.77,2.0,7.0,3.48,1.74,4102.0,5.0,2.49,0.85,4.0,2.26,0.71,5.0,4.0,10.0,5.25,3.59,6.0,2.26,1.85,0.0,9.0,4.52,2.21,5.0,2.89,1.09,3.0,2.0,21.0,12.0,12.73,8.0,2.89,2.15,0.0,13.0,5.78,3.14,584.0,151.93,124.25,27.0,643.12,733.68,32.21,96.44,9.54,15.66,13.57,16.25
insurance_10000_bdeu-1-6,12.22,4.0,1.7,0.87,7.0,7.0,1.7,1.88,2.0,9.0,3.41,1.97,6.3,3.0,1.67,0.78,9.0,7.0,1.67,1.88,2.0,7.0,3.33,1.66,0.17,3.0,1.67,0.73,7.0,7.0,1.67,1.86,2.0,8.0,3.33,1.75,16.32,3.0,1.85,0.77,7.0,6.0,1.85,1.81,1.0,7.0,3.7,1.84,4103.0,6.0,2.49,0.85,4.0,2.26,0.71,5.0,4.0,10.0,5.25,3.59,6.0,2.26,1.85,0.0,9.0,4.52,2.21,6.0,2.93,1.17,3.0,1.0,24.0,24.0,0.0,8.0,2.93,2.13,0.0,14.0,5.85,3.22,584.0,151.96,124.27,27.0,609.36,695.35,453.67,96.54,12.47,22.91,15.58,19.82
