Instances,feature_ EXIST_VARS,feature_ FORALL_VARS,feature_ TOTAL_VARS,feature_ CLAUSES,feature_ LITERALS,feature_ EXIST_SET,feature_ FORALL_SET,feature_ TOTAL_SET,feature_ UNARY_CLAUSES,feature_ BINARY_CLAUSES,feature_ TERNARY_MORE_CLAUSES,feature_ POS_HORN,feature_ NEG_HORN,feature_ EXIST_LIT_PER_CLAUSE,feature_ FORALL_LIT_PER_CLAUSE,feature_ EXIST_VARS_PER_SET,feature_ FORALL_POS_LITS_PER_CLAUSE,feature_ FORALL_NEG_LITS_PER_CLAUSE,feature_ OCCS_POS_NO_PER_VAR,feature_ OCCS_FORALL_NO_PER_VAR,feature_ OCCS_FORALL_POS_NO_PER_VAR,feature_ W_OCCS_POS_NO_PER_VAR,feature_ W_OCCS_FORALL_NO_PER_VAR,feature_ W_OCCS_FORALL_POS_NO_PER_VAR,feature_ W_PRODUCTS,feature_ LITN_LIT,feature_ LITEP_LIT,feature_ LITEN_LITE,feature_ LITEN_LITN,feature_ LITFN_LIT,feature_ LITFP_LITFN,feature_ OCCP_OCCN,feature_ OCCE_OCC,feature_ OCCEN_OCC,feature_ OCCFP_OCCF,feature_ OCCEN_OCCE,feature_ OCCEN_OCCN,feature_ OCCFP_OCCFN,feature_ TERMORE_CLAUSE,feature_ NEG_HORN_CLAUSE,feature_ WOCCN_WOCC,feature_ WOCCEP_WOCC,feature_ WOCCFN_WOCC,feature_ WOCCEP_WOCCE,feature_ WOCCEP_WOCCP,feature_ WOCCFN_WOCCN,algo_bcghostq,algo_brareqs,algo_cbdepqbf,algo_cghostq,algo_depqbf,algo_dual_ooq13,algo_ghostq,algo_hiqqer1,algo_hiqqer3,algo_ooq13,algo_pre_dual_ooq13,algo_rareqs,algo_sqube,algo_xbdepqbf
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-14,2318.0,112.0,2430.0,8988.0,99124.0,15.0,15.0,30.0,0.0,2.0,8986.0,8442.0,26.0,10.922563,0.105919,154.533333,0.053738,0.052181,3.983539,8.5,4.3125,65.602881,61.0,30.5625,1168.754961,0.902345,0.092783,0.906317,0.994756,0.004731,1.029851,0.108224,1.038249,0.940984,0.507353,0.906317,1.042821,1.029851,0.999777,0.002893,0.886261,0.116674,0.052771,0.111841,1.025808,0.059543,NaN,50.1262,18.6719,NaN,NaN,NaN,NaN,3.20905,5.40887,NaN,132.781,NaN,NaN,17.1697
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-15,2491.0,119.0,2610.0,9840.0,114563.0,16.0,16.0,32.0,0.0,2.0,9838.0,9255.0,26.0,11.540142,0.102439,155.6875,0.051931,0.050508,4.056705,8.470588,4.294118,70.864751,64.941176,32.529412,1342.254516,0.907579,0.08796,0.911259,0.99522,0.004338,1.028169,0.101832,1.038553,0.946391,0.506944,0.911259,1.042764,1.028169,0.999797,0.002642,0.891759,0.111039,0.049507,0.106458,1.025843,0.055516,NaN,751.737,38.3236,NaN,NaN,NaN,NaN,0.933231,12.9025,NaN,216.183,NaN,NaN,42.7979
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-16,2665.0,126.0,2791.0,10720.0,131415.0,17.0,17.0,34.0,0.0,2.0,10718.0,10096.0,26.0,12.159608,0.099254,156.764706,0.05028,0.048974,4.129344,8.444444,4.277778,76.26478,68.888889,34.5,1531.430394,0.912301,0.083598,0.91572,0.995621,0.003995,1.026667,0.09613,1.0388,0.95125,0.506579,0.91572,1.042693,1.026667,0.999813,0.002425,0.896755,0.105919,0.046555,0.101564,1.025892,0.051915,NaN,NaN,95.835,NaN,NaN,NaN,NaN,27.1532,24.9738,NaN,NaN,NaN,NaN,129.753
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-18,3016.0,140.0,3156.0,12564.0,169582.0,19.0,19.0,38.0,0.0,2.0,12562.0,11862.0,26.0,13.403852,0.093601,158.736842,0.047358,0.046243,4.273131,8.4,4.25,87.474968,76.8,38.45,1959.261936,0.920475,0.076016,0.923453,0.996278,0.003426,1.024096,0.086396,1.039162,0.959618,0.505952,0.923453,1.042524,1.024096,0.999841,0.002069,0.905497,0.096961,0.041431,0.093002,1.026015,0.045755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,282.156,253.278,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-20,3371.0,154.0,3525.0,14520.0,214073.0,21.0,21.0,42.0,0.0,2.0,14518.0,13740.0,26.0,14.654614,0.088705,160.52381,0.044835,0.043871,4.415035,8.363636,4.227273,99.224681,84.727273,42.409091,2457.076832,0.927301,0.069658,0.92992,0.996791,0.002976,1.021978,0.078399,1.039392,0.966552,0.505435,0.92992,1.042328,1.021978,0.999862,0.001791,0.912897,0.089382,0.037149,0.085756,1.026158,0.040693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-4,643.0,42.0,685.0,2008.0,10129.0,5.0,5.0,10.0,0.0,2.0,2006.0,1852.0,26.0,4.849104,0.195219,128.6,0.101096,0.094124,3.20438,9.333333,4.833333,20.751825,22.666667,11.5,154.609642,0.783295,0.196663,0.79542,0.976178,0.018659,1.074074,0.276657,1.02409,0.814581,0.517857,0.79542,1.039941,1.074074,0.999004,0.012948,0.765823,0.240996,0.126012,0.229824,1.029121,0.164544,0.510438,0.099729,0.128289,0.452684,246.792,NaN,0.411214,0.115542,0.256654,NaN,0.241388,NaN,0.133473,0.133834
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-6,970.0,56.0,1026.0,3180.0,19760.0,7.0,7.0,14.0,0.0,2.0,3178.0,2946.0,26.0,6.055346,0.158491,138.571429,0.081447,0.077044,3.37232,9.0,4.625,28.591618,30.0,15.125,268.641237,0.824899,0.161994,0.833766,0.984969,0.012399,1.057143,0.21227,1.030753,0.859407,0.513889,0.833766,1.041834,1.057143,0.999371,0.008176,0.807957,0.197265,0.099912,0.188572,1.027192,0.12366,0.924888,0.299172,0.1746,0.8447,778.486,2.31479,0.812069,0.177853,0.380734,NaN,0.682115,NaN,0.362067,0.261249
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-8,1301.0,70.0,1371.0,4464.0,33027.0,9.0,9.0,18.0,0.0,2.0,4462.0,4152.0,26.0,7.260529,0.137993,144.555556,0.070565,0.067428,3.530999,8.8,4.5,36.98833,37.6,18.9,421.532667,0.853423,0.137039,0.860356,0.989321,0.009114,1.046512,0.171752,1.03415,0.889737,0.511364,0.860356,1.042551,1.046512,0.999552,0.005824,0.836426,0.167878,0.082697,0.160671,1.026312,0.09887,16.4062,0.832052,0.374764,16.2649,NaN,14.3461,1.58256,0.311033,0.712264,NaN,2.02116,NaN,1.15598,0.532405
applications/hardness/arbiter-07-comp-error01-qbf-hardness-depth-9,1468.0,77.0,1545.0,5148.0,41164.0,10.0,10.0,20.0,0.0,2.0,5146.0,4797.0,26.0,7.865579,0.130536,146.8,0.066628,0.063908,3.608414,8.727273,4.454545,41.401294,41.454545,20.818182,514.33515,0.864566,0.127101,0.870789,0.990756,0.007992,1.042553,0.15665,1.035271,0.901503,0.510417,0.870789,1.042723,1.042553,0.999611,0.005051,0.847602,0.156373,0.075963,0.149718,1.026077,0.089621,23.5388,7.77409,0.563748,23.1795,NaN,27.0425,2.66035,0.388109,0.882845,NaN,4.42794,NaN,NaN,0.732074
applications/hardness/arbiter-07-comp-error02-qbf-hardness-depth-4,655.0,42.0,697.0,2060.0,10391.0,5.0,5.0,10.0,0.0,2.0,2058.0,1900.0,26.0,4.851942,0.192233,131.0,0.099515,0.092718,3.241033,9.428571,4.880952,21.011478,22.761905,11.547619,157.309924,0.7826,0.197671,0.794497,0.976513,0.018381,1.073298,0.277791,1.023569,0.813222,0.517677,0.794497,1.039129,1.073298,0.999029,0.012621,0.764799,0.241994,0.125532,0.230957,1.028881,0.164137,0.492147,1.21683,0.132824,0.414574,254.688,1.16679,0.411621,0.061376,0.060791,NaN,15.3508,11.5346,0.131799,0.19101
applications/hardness/arbiter-07-comp-error02-qbf-hardness-depth-5,821.0,49.0,870.0,2645.0,14878.0,6.0,6.0,12.0,0.0,2.0,2643.0,2445.0,26.0,5.454064,0.170888,136.833333,0.088091,0.082798,3.325287,9.22449,4.755102,24.890805,26.367347,13.326531,210.170524,0.805552,0.178787,0.815611,0.981727,0.01472,1.063927,0.241385,1.02749,0.838032,0.515487,0.815611,1.04032,1.063927,0.999244,0.00983,0.788236,0.217636,0.110948,0.208006,1.027729,0.140754,0.735444,28.4898,0.131484,0.671104,NaN,17.2707,0.691856,0.143921,0.312587,NaN,71.3057,23.7839,0.22718,0.233148
applications/hardness/arbiter-07-comp-error02-qbf-hardness-depth-6,988.0,56.0,1044.0,3258.0,20231.0,7.0,7.0,14.0,0.0,2.0,3256.0,3018.0,26.0,6.053714,0.155924,141.142857,0.08011,0.075813,3.40613,9.071429,4.660714,28.901341,30.071429,15.160714,271.92915,0.82423,0.162869,0.832936,0.985187,0.012209,1.05668,0.213253,1.030147,0.858047,0.51378,0.832936,1.041028,1.05668,0.999386,0.00798,0.806989,0.198212,0.099578,0.189623,1.026948,0.123394,0.94862,37.637,0.190827,0.864747,NaN,71.4384,0.835368,0.159877,0.346095,NaN,NaN,50.2578,0.339827,0.348911
applications/hardness/arbiter-07-comp-error02-qbf-hardness-depth-7,1156.0,63.0,1219.0,3899.0,26506.0,8.0,8.0,16.0,0.0,2.0,3897.0,3619.0,26.0,6.653501,0.144652,144.5,0.074122,0.070531,3.484824,8.952381,4.587302,33.049221,33.84127,17.031746,343.33218,0.839734,0.149362,0.84739,0.987645,0.010375,1.050909,0.190853,1.03206,0.874558,0.512411,0.84739,1.04147,1.050909,0.999487,0.006668,0.822471,0.182218,0.090295,0.17444,1.026413,0.109785,41.5284,123.608,0.285783,41.1922,NaN,NaN,4.54412,0.264236,0.618758,NaN,NaN,523.698,0.515293,0.482858
applications/hardness/arbiter-07-comp-error02-qbf-hardness-depth-8,1325.0,70.0,1395.0,4568.0,33759.0,9.0,9.0,18.0,0.0,2.0,4566.0,4248.0,26.0,7.254597,0.135727,147.222222,0.069396,0.066331,3.562007,8.857143,4.528571,37.336918,37.657143,18.928571,425.085283,0.85281,0.1378,0.859622,0.989476,0.008975,1.046205,0.172595,1.033494,0.888414,0.51129,0.859622,1.04175,1.046205,0.999562,0.005692,0.835539,0.168744,0.082495,0.161622,1.026047,0.098733,297.056,NaN,66.951,299.133,NaN,NaN,107.27,58.733,53.7909,NaN,NaN,NaN,NaN,61.4837
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-11,2091.0,104.0,2195.0,7711.0,70832.0,12.0,12.0,24.0,0.0,2.0,7709.0,7227.0,29.0,9.069641,0.116198,174.25,0.059136,0.057061,3.805467,8.615385,4.384615,51.289294,49.230769,24.692308,743.493066,0.882073,0.111489,0.887082,0.992958,0.006212,1.036364,0.133693,1.036458,0.919424,0.508929,0.887082,1.042344,1.036364,0.999741,0.003761,0.865101,0.138378,0.06454,0.132635,1.025792,0.074604,279.013,30.2976,1.33703,279.289,NaN,NaN,9.94426,0.557751,1.25809,NaN,35.0526,NaN,NaN,2.11193
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-12,2287.0,112.0,2399.0,8604.0,84237.0,13.0,13.0,26.0,0.0,2.0,8602.0,8076.0,29.0,9.67887,0.111576,175.923077,0.056718,0.054858,3.880367,8.571429,4.357143,56.170905,53.142857,26.642857,873.93791,0.88949,0.104716,0.894076,0.993701,0.005603,1.033898,0.124239,1.037018,0.927173,0.508333,0.894076,1.042365,1.033898,0.999768,0.003371,0.872722,0.130555,0.060046,0.125163,1.025744,0.068804,NaN,68.5961,3.10216,NaN,NaN,NaN,163.17,0.695958,1.56529,NaN,36.0095,NaN,NaN,3.78824
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-13,2484.0,120.0,2604.0,9529.0,99080.0,14.0,14.0,28.0,0.0,2.0,9527.0,8957.0,29.0,10.290272,0.107461,177.428571,0.05457,0.052891,3.954685,8.533333,4.333333,61.194316,57.066667,28.6,1018.142512,0.896064,0.098688,0.900281,0.994323,0.005087,1.031746,0.115992,1.037475,0.934019,0.507813,0.900281,1.042358,1.031746,0.99979,0.003043,0.879531,0.123569,0.05604,0.118488,1.025731,0.063716,NaN,30.5481,5.67551,NaN,NaN,NaN,NaN,1.42421,2.29681,NaN,88.4792,NaN,NaN,6.48165
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-14,2682.0,128.0,2810.0,10486.0,115425.0,15.0,15.0,30.0,0.0,2.0,10484.0,9870.0,29.0,10.903776,0.103757,178.8,0.052642,0.051116,4.02847,8.5,4.3125,66.358719,61.0,30.5625,1176.753169,0.901928,0.09329,0.905822,0.994851,0.004644,1.029851,0.108736,1.03785,0.940107,0.507353,0.905822,1.042331,1.029851,0.999809,0.002766,0.885654,0.11729,0.052449,0.112486,1.025745,0.05922,NaN,43.0107,22.0373,NaN,NaN,NaN,NaN,1.17461,2.72011,NaN,207.023,NaN,NaN,23.8692
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-15,2881.0,136.0,3017.0,11475.0,133336.0,16.0,16.0,32.0,0.0,2.0,11473.0,10815.0,29.0,11.519303,0.100392,180.0625,0.050893,0.049499,4.101757,8.470588,4.294118,71.663242,64.941176,32.529412,1350.408886,0.907189,0.088431,0.910799,0.995304,0.00426,1.028169,0.102306,1.038158,0.945553,0.506944,0.910799,1.042288,1.028169,0.999826,0.002527,0.891191,0.111614,0.049212,0.107059,1.025778,0.055221,NaN,753.598,48.7245,NaN,NaN,NaN,NaN,3.65457,3.86553,NaN,359.867,NaN,NaN,59.8453
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-16,3081.0,144.0,3225.0,12496.0,152877.0,17.0,17.0,34.0,0.0,2.0,12494.0,11792.0,29.0,12.136764,0.097311,181.235294,0.049296,0.048015,4.174574,8.444444,4.277778,77.106977,68.888889,34.5,1539.741642,0.911936,0.084035,0.915291,0.995696,0.003925,1.026667,0.096568,1.038412,0.95045,0.506579,0.915291,1.042233,1.026667,0.99984,0.002321,0.896224,0.106456,0.046283,0.102125,1.025826,0.051642,NaN,NaN,108.043,NaN,NaN,NaN,NaN,1.43412,2.97538,NaN,NaN,NaN,NaN,105.469
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-17,3282.0,152.0,3434.0,13549.0,174112.0,18.0,18.0,36.0,0.0,2.0,13547.0,12801.0,29.0,12.756071,0.094472,182.333333,0.047826,0.046646,4.246942,8.421053,4.263158,82.688992,72.842105,36.473684,1745.3766,0.916238,0.08004,0.919367,0.996038,0.00363,1.025316,0.09142,1.038621,0.954874,0.50625,0.919367,1.042168,1.025316,0.999852,0.00214,0.90082,0.101748,0.043622,0.097621,1.025885,0.048424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.07807,4.73792,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-19,3687.0,168.0,3855.0,15751.0,221920.0,20.0,20.0,40.0,0.0,2.0,15749.0,14915.0,29.0,13.999873,0.089391,184.35,0.045203,0.044188,4.390402,8.380952,4.238095,94.264073,80.761905,40.428571,2208.020613,0.923734,0.073058,0.926476,0.996605,0.003136,1.022989,0.082563,1.038932,0.962545,0.505682,0.926476,1.042016,1.022989,0.999873,0.001841,0.908909,0.093461,0.038976,0.089693,1.026023,0.042882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.67989,10.5675,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-20,3891.0,176.0,4067.0,16900.0,248621.0,21.0,21.0,42.0,0.0,2.0,16898.0,16020.0,29.0,14.624201,0.087101,185.285714,0.044024,0.043077,4.46152,8.363636,4.227273,100.255225,84.727273,42.409091,2466.247237,0.927017,0.06999,0.929593,0.996841,0.002928,1.021978,0.078728,1.039044,0.965888,0.505435,0.929593,1.041931,1.021978,0.999882,0.001716,0.912488,0.089796,0.036939,0.086186,1.026099,0.040482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-21,4096.0,184.0,4280.0,18081.0,277272.0,22.0,22.0,44.0,0.0,2.0,18079.0,17157.0,29.0,15.250041,0.084951,186.181818,0.042918,0.042033,4.532243,8.347826,4.217391,106.380841,88.695652,44.391304,2743.211426,0.93004,0.067161,0.932464,0.997053,0.002741,1.021053,0.075223,1.039133,0.968955,0.505208,0.932464,1.041842,1.021053,0.999889,0.001604,0.915802,0.086402,0.035066,0.082938,1.026177,0.03829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-22,4302.0,192.0,4494.0,19294.0,307937.0,23.0,23.0,46.0,0.0,2.0,19292.0,18326.0,29.0,15.877319,0.082927,187.043478,0.041878,0.041049,4.602581,8.333333,4.208333,112.639964,92.666667,46.375,3039.506276,0.93283,0.064546,0.935117,0.997243,0.002572,1.020202,0.072006,1.039203,0.971776,0.505,0.935117,1.04175,1.020202,0.999896,0.001503,0.918879,0.083251,0.033338,0.079922,1.026256,0.036281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-23,4509.0,200.0,4709.0,20539.0,340680.0,24.0,24.0,48.0,0.0,2.0,20537.0,19527.0,29.0,16.505964,0.081017,187.875,0.040898,0.040119,4.672542,8.32,4.2,119.031642,96.64,48.36,3355.718785,0.935414,0.06212,0.937575,0.997414,0.002419,1.019417,0.069045,1.039255,0.974379,0.504808,0.937575,1.041655,1.019417,0.999903,0.001412,0.921745,0.080316,0.031741,0.077113,1.026335,0.034436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-24,4717.0,208.0,4925.0,21816.0,375565.0,25.0,25.0,50.0,0.0,2.0,21814.0,20760.0,29.0,17.135909,0.079208,188.68,0.039971,0.039237,4.742132,8.307692,4.192308,125.554924,100.615385,50.346154,3692.429934,0.937814,0.059864,0.939859,0.99757,0.002279,1.018692,0.06631,1.039292,0.976788,0.50463,0.939859,1.041558,1.018692,0.999908,0.001329,0.924419,0.077577,0.030261,0.074492,1.026414,0.032735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-4,747.0,48.0,795.0,2356.0,11885.0,5.0,5.0,10.0,0.0,2.0,2354.0,2180.0,29.0,4.854414,0.190153,149.4,0.098472,0.091681,3.251572,9.333333,4.833333,21.104403,22.666667,11.5,159.453815,0.782499,0.197981,0.794264,0.976774,0.018174,1.074074,0.277957,1.02414,0.813438,0.517857,0.794264,1.039539,1.074074,0.999151,0.012309,0.764546,0.24234,0.124583,0.231238,1.029243,0.16295,0.555515,0.105757,0.104775,0.503354,NaN,2.04485,0.496004,0.108113,0.229181,NaN,0.323417,NaN,0.168515,0.146596
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-5,936.0,56.0,992.0,3025.0,17016.0,6.0,6.0,12.0,0.0,2.0,3023.0,2805.0,29.0,5.455868,0.169256,156.0,0.087273,0.081983,3.336694,9.142857,4.714286,24.997984,26.285714,13.285714,212.497863,0.805477,0.179008,0.815439,0.981906,0.014575,1.064516,0.2415,1.02794,0.838222,0.515625,0.815439,1.040652,1.064516,0.999339,0.009587,0.788051,0.21789,0.110222,0.208209,1.028032,0.139867,0.873596,0.188624,0.183377,0.769731,NaN,15.069,0.689889,0.15575,0.361899,NaN,0.589172,NaN,0.290996,0.251044
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-7,1317.0,72.0,1389.0,4459.0,30312.0,8.0,8.0,16.0,0.0,2.0,4457.0,4151.0,29.0,6.654407,0.14353,164.625,0.073559,0.069971,3.4982,8.888889,4.555556,33.192225,33.777778,17.0,346.101746,0.8397,0.149479,0.847297,0.987742,0.010293,1.051282,0.190901,1.032402,0.874751,0.5125,0.847297,1.041742,1.051282,0.999551,0.006504,0.822382,0.182355,0.089781,0.174538,1.02667,0.109172,3.37951,0.823884,0.301008,3.19896,NaN,30.338,1.42312,0.299003,0.685456,NaN,1.64751,NaN,0.804495,0.487275
applications/hardness/arbiter-08-comp-error01-qbf-hardness-depth-8,1509.0,80.0,1589.0,5224.0,38605.0,9.0,9.0,18.0,0.0,2.0,5222.0,4872.0,29.0,7.255168,0.134763,167.666667,0.068913,0.06585,3.576463,8.8,4.5,37.501573,37.6,18.9,428.135189,0.852791,0.137884,0.859555,0.989551,0.008911,1.046512,0.17262,1.033812,0.888619,0.511364,0.859555,1.042012,1.046512,0.999617,0.005551,0.835484,0.168842,0.082035,0.161684,1.026297,0.098189,3.55324,0.97885,0.465567,3.35972,NaN,43.484,1.6906,0.286049,0.620157,NaN,3.69123,NaN,1.46604,0.688913
applications/hardness/arbiter-08-comp-error02-qbf-hardness-depth-4,759.0,48.0,807.0,2408.0,12147.0,5.0,5.0,10.0,0.0,2.0,2406.0,2228.0,29.0,4.856728,0.187708,151.8,0.097176,0.090532,3.282528,9.416667,4.875,21.32342,22.75,11.541667,161.818182,0.781921,0.198815,0.793501,0.977048,0.017947,1.073394,0.278901,1.023677,0.812289,0.517699,0.793501,1.038837,1.073394,0.999169,0.012043,0.763698,0.243158,0.124209,0.232176,1.029011,0.162641,0.586556,3.70933,0.137758,0.49269,NaN,6.19551,0.491397,0.165326,0.376722,NaN,49.6221,57.8846,0.173122,0.0
applications/hardness/arbiter-08-comp-error02-qbf-hardness-depth-5,951.0,56.0,1007.0,3090.0,17376.0,6.0,6.0,12.0,0.0,2.0,3088.0,2865.0,29.0,5.456311,0.16699,158.5,0.086084,0.080906,3.366435,9.214286,4.75,25.239325,26.357143,13.321429,215.154574,0.804903,0.179788,0.814709,0.982125,0.014388,1.064,0.242385,1.027441,0.837065,0.515504,0.814709,1.039958,1.064,0.999353,0.009385,0.787218,0.218699,0.109899,0.209121,1.027805,0.139604,0.785459,25.1269,0.12616,0.700771,NaN,34.8481,0.668126,0.153554,0.335415,NaN,NaN,113.14,0.304527,0.31702
applications/hardness/arbiter-08-comp-error02-qbf-hardness-depth-7,1338.0,72.0,1410.0,4550.0,30907.0,8.0,8.0,16.0,0.0,2.0,4548.0,4235.0,29.0,6.651209,0.141538,167.25,0.072527,0.069011,3.525532,8.944444,4.583333,33.470922,33.833333,17.027778,349.155456,0.839163,0.15016,0.846644,0.987893,0.01016,1.050955,0.191664,1.031854,0.873613,0.512422,0.846644,1.041053,1.050955,0.99956,0.006374,0.821605,0.183111,0.089571,0.175375,1.026436,0.10902,31.1383,NaN,0.51673,30.9059,NaN,NaN,3.14713,0.241895,0.549891,NaN,NaN,NaN,0.667921,0.601544
applications/hardness/arbiter-08-comp-error02-qbf-hardness-depth-8,1533.0,80.0,1613.0,5328.0,39337.0,9.0,9.0,18.0,0.0,2.0,5326.0,4968.0,29.0,7.250188,0.132883,170.333333,0.067943,0.06494,3.602604,8.85,4.525,37.795412,37.65,18.925,431.274625,0.852276,0.138521,0.85894,0.98968,0.008796,1.046243,0.173328,1.033248,0.887498,0.511299,0.85894,1.041326,1.046243,0.999625,0.005443,0.83474,0.169566,0.081875,0.162482,1.026055,0.098084,366.221,NaN,0.308667,371.401,NaN,NaN,225.462,0.33325,0.78208,NaN,NaN,NaN,0.988023,0.797814
applications/hardness/arbiter-08-comp-error02-qbf-hardness-depth-9,1729.0,88.0,1817.0,6138.0,48962.0,10.0,10.0,20.0,0.0,2.0,6136.0,5733.0,29.0,7.851092,0.125774,172.9,0.06419,0.061584,3.678591,8.772727,4.477273,42.26087,41.5,20.840909,524.395604,0.863486,0.128467,0.869475,0.991059,0.00772,1.042328,0.158096,1.034327,0.899321,0.510363,0.869475,1.041501,1.042328,0.999674,0.004725,0.846018,0.157954,0.075274,0.151413,1.025797,0.088974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,718.2,NaN,NaN,NaN,NaN,NaN
applications/hardness/arbiter-09-comp-error01-qbf-hardness-depth-10,2166.0,108.0,2274.0,7880.0,67544.0,11.0,11.0,22.0,0.0,2.0,7878.0,7390.0,32.0,8.452792,0.118782,196.909091,0.060533,0.058249,3.769569,8.666667,4.416667,47.079595,45.333333,22.75,633.282548,0.87309,0.119848,0.878468,0.992217,0.006796,1.039216,0.145357,1.035313,0.909489,0.509615,0.878468,1.04169,1.039216,0.999746,0.004061,0.855688,0.148031,0.069224,0.141937,1.025767,0.080899,271.492,6.82573,0.847478,267.03,NaN,775.218,5.02413,0.463805,1.00582,NaN,23.7785,NaN,6.66856,1.37681
applications/hardness/arbiter-09-comp-error01-qbf-hardness-depth-12,2611.0,126.0,2737.0,9888.0,96645.0,13.0,13.0,26.0,0.0,2.0,9886.0,9300.0,32.0,9.664745,0.109223,200.846154,0.055522,0.053701,3.919255,8.571429,4.357143,56.763244,53.142857,26.642857,881.162007,0.889006,0.105313,0.893497,0.99382,0.005494,1.033898,0.124852,1.036543,0.926148,0.508333,0.893497,1.041779,1.033898,0.999798,0.003236,0.872006,0.131272,0.059754,0.125923,1.025607,0.068525,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,NaN,0.0,NaN,NaN,5.53736
applications/hardness/arbiter-09-comp-error01-qbf-hardness-depth-13,2835.0,135.0,2970.0,10946.0,113612.0,14.0,14.0,28.0,0.0,2.0,10944.0,10309.0,32.0,10.274073,0.105244,202.5,0.053444,0.0518,3.993266,8.533333,4.333333,61.817845,57.066667,28.6,1025.309347,0.89561,0.099241,0.899742,0.994428,0.004991,1.031746,0.116558,1.036996,0.933029,0.507813,0.899742,1.041781,1.031746,0.999817,0.002923,0.87886,0.12424,0.055784,0.119198,1.025588,0.063473,NaN,76.3574,9.04528,NaN,NaN,NaN,NaN,0.815978,1.88946,NaN,NaN,NaN,NaN,8.88074
applications/hardness/arbiter-09-comp-error01-qbf-hardness-depth-14,3060.0,144.0,3204.0,12040.0,132286.0,15.0,15.0,30.0,0.0,2.0,12038.0,11354.0,32.0,10.885548,0.101661,204.0,0.051578,0.050083,4.066792,8.5,4.3125,67.013421,61.0,30.5625,1183.796732,0.901501,0.093804,0.90532,0.994944,0.004558,1.029851,0.109261,1.037371,0.939152,0.507353,0.90532,1.041765,1.029851,0.999834,0.002658,0.885025,0.117918,0.052222,0.113151,1.025597,0.059006,NaN,90.9948,27.3207,NaN,NaN,NaN,NaN,1.04451,2.53648,NaN,405.5,NaN,NaN,31.5735
applications/hardness/arbiter-09-comp-error01-qbf-hardness-depth-15,3286.0,153.0,3439.0,13170.0,152739.0,16.0,16.0,32.0,0.0,2.0,13168.0,12435.0,32.0,11.499089,0.098405,205.375,0.049886,0.048519,4.139866,8.470588,4.294118,72.349229,64.941176,32.529412,1357.267194,0.906789,0.08891,0.910329,0.995386,0.004184,1.028169,0.102793,1.037681,0.944631,0.506944,0.910329,1.041733,1.028169,0.999848,0.00243,0.890601,0.112203,0.04901,0.107682,1.025626,0.05503,NaN,277.76,62.0685,NaN,NaN,NaN,NaN,0.983166,2.4907,NaN,879.155,NaN,NaN,72.9263
