Instances,feature_ stacks,feature_ tiers,feature_ stacktierratio,feature_ containerdensity,feature_ emptystackpct,feature_ overstowingstackpct,feature_ overstowing2contstackpct,feature_ groupsamemin,feature_ groupsamemax,feature_ groupsamemean,feature_ groupsamestdev,feature_ topgoodmin,feature_ topgoodmax,feature_ topgoodmean,feature_ topgoodstdev,feature_ overstowagepct,feature_ bflb,feature_ leftdensity,feature_ tierweightedgroups,feature_ avgl1topleftlggroup,feature_ contemptygrtestack,feature_ pctbottompctontop,algo_astar-symmulgt-transmul,algo_astar-symmullt-transmul,algo_idastar-symmulgt-transmul,algo_idastar-symmullt-transmul
BF22_cpmp_20_5_80_16_60_11,20.0,5.0,0.25,0.8,0.1,0.8,1.0,0.0,6.0,4.70588,1.36186,2.0,16.0,8.75,4.08503,0.6,60.0,0.282014,0.503366,0.533333,0.1,0.2,NaN,NaN,NaN,2811.512
BF22_cpmp_20_5_80_16_60_16,20.0,5.0,0.25,0.8,0.15,0.85,1.0,0.0,7.0,4.70588,1.67208,2.0,16.0,8.05882,3.85732,0.6,61.0,0.195683,0.477124,0.477778,0.15,0.1,NaN,53.339,NaN,NaN
BF22_cpmp_20_5_80_16_60_4,20.0,5.0,0.25,0.8,0.05,0.9,1.0,0.0,8.0,4.70588,1.7069,3.0,15.0,8.44444,3.13089,0.6,62.0,0.254676,0.505948,0.553333,0.05,0.0,4.724,NaN,NaN,NaN
BF22_cpmp_20_5_80_16_60_6,20.0,5.0,0.25,0.8,0.15,0.8,0.941176,0.0,8.0,4.70588,1.52488,2.0,12.0,7.25,3.23071,0.6,61.0,0.0460432,0.449412,0.586667,0.15,0.0,0.052,137.485,NaN,NaN
BF22_cpmp_20_5_80_16_60_7,20.0,5.0,0.25,0.8,0.2,0.8,1.0,0.0,7.0,4.70588,1.77448,2.0,11.0,6.375,2.97647,0.6,62.0,0.352518,0.439216,0.366667,0.2,0.1,47.947,NaN,NaN,NaN
BF22_cpmp_20_5_80_16_60_9,20.0,5.0,0.25,0.8,0.15,0.85,1.0,0.0,7.0,4.70588,1.52488,2.0,12.0,6.70588,3.32132,0.6,62.0,0.414388,0.46683,0.38,0.17,0.05,NaN,1.608,NaN,NaN
BF23_cpmp_20_5_80_32_48_10,20.0,5.0,0.25,0.8,0.0,0.9,1.0,0.0,5.0,2.42424,1.07394,2.0,17.0,8.66667,5.04425,0.48,52.0,0.169784,0.435741,0.3,0.0,0.0,1.66,18.621,NaN,NaN
BF23_cpmp_20_5_80_32_48_11,20.0,5.0,0.25,0.8,0.0,0.85,0.894737,0.0,4.0,2.42424,0.985664,2.0,25.0,10.0588,6.27292,0.48,51.0,0.0589928,0.501515,0.358333,0.0,0.1,12.141,338.729,NaN,NaN
BF23_cpmp_20_5_80_32_48_12,20.0,5.0,0.25,0.8,0.0,0.9,0.947368,0.0,6.0,2.42424,1.20681,2.0,28.0,10.7778,7.32997,0.48,49.0,0.185612,0.466296,0.588889,0.0,0.1,NaN,478.102,NaN,NaN
BF23_cpmp_20_5_80_32_48_15,20.0,5.0,0.25,0.8,0.0,0.8,0.842105,0.0,5.0,2.42424,0.922129,2.0,30.0,14.3125,7.48932,0.48,51.0,0.0129496,0.527744,0.833333,0.0,0.0,139.557,NaN,0.18,NaN
BF23_cpmp_20_5_80_32_48_16,20.0,5.0,0.25,0.8,0.0,0.9,0.947368,0.0,7.0,2.42424,1.39328,2.0,28.0,11.8889,7.68757,0.48,51.0,0.299281,0.494562,0.75,0.0,0.0,NaN,166.602,4.424,1365.913
BF23_cpmp_20_5_80_32_48_18,20.0,5.0,0.25,0.8,0.0,0.65,0.764706,0.0,5.0,2.42424,1.25602,2.0,24.0,15.0769,8.21314,0.48,51.0,0.195683,0.499714,0.333333,0.0,0.0,0.164,4.66,NaN,NaN
BF23_cpmp_20_5_80_32_48_3,20.0,5.0,0.25,0.8,0.0,0.85,0.894737,0.0,4.0,2.42424,0.888659,3.0,27.0,11.1765,6.51907,0.48,51.0,0.0848921,0.476599,0.677778,0.0,0.1,7.836,213.633,NaN,3113.451
BF23_cpmp_20_5_80_32_48_4,20.0,5.0,0.25,0.8,0.0,0.75,0.789474,0.0,5.0,2.42424,0.922129,2.0,25.0,12.3333,7.28164,0.48,50.0,0.105036,0.50569,0.506667,0.0,0.0,2.768,123.932,63.008,690.687
BF23_cpmp_20_5_80_32_48_6,20.0,5.0,0.25,0.8,0.05,0.85,0.944444,0.0,6.0,2.42424,1.41486,5.0,23.0,14.3529,5.38998,0.48,50.0,0.430216,0.511987,0.5,0.05,0.0,2.856,1.268,NaN,NaN
BF23_cpmp_20_5_80_32_48_7,20.0,5.0,0.25,0.8,0.0,0.75,0.833333,0.0,5.0,2.42424,1.04534,2.0,25.0,13.6667,7.11493,0.48,51.0,0.0057554,0.498889,0.533333,0.0,0.0,21.673,NaN,NaN,NaN
BF24_cpmp_20_5_80_32_60_13,20.0,5.0,0.25,0.8,0.0,0.85,1.0,0.0,4.0,2.42424,0.853879,2.0,26.0,11.8235,8.13298,0.6,64.0,0.368345,0.459091,0.575,0.0,0.1,296.083,21.981,NaN,NaN
BF24_cpmp_20_5_80_32_60_17,20.0,5.0,0.25,0.8,0.15,0.8,1.0,0.0,4.0,2.42424,0.779678,4.0,30.0,15.125,7.43198,0.6,60.0,0.258993,0.459091,0.488889,0.16,0.0,NaN,280.966,NaN,NaN
BF24_cpmp_20_5_80_32_60_2,20.0,5.0,0.25,0.8,0.1,0.8,1.0,0.0,5.0,2.42424,0.888659,2.0,32.0,14.625,7.40671,0.6,61.0,0.0920863,0.456582,0.55,0.1,0.15,51.007,NaN,NaN,NaN
BF24_cpmp_20_5_80_32_60_8,20.0,5.0,0.25,0.8,0.2,0.8,1.0,0.0,5.0,2.42424,1.1018,2.0,27.0,13.375,7.61475,0.6,60.0,0.381295,0.440522,0.683333,0.2,0.1,NaN,20.565,NaN,NaN
BF25_cpmp_20_8_96_20_58_20,20.0,8.0,0.4,0.6,0.0,0.8,0.842105,0.0,9.0,4.57143,1.56057,2.0,13.0,6.875,3.70599,0.3625,62.0,0.397482,0.475134,0.458333,0.0,0.0,109.611,NaN,NaN,922.238
BF26_cpmp_20_8_96_20_72_5,20.0,8.0,0.4,0.6,0.2,0.6,0.923077,0.0,8.0,4.57143,1.62045,2.0,17.0,9.91667,4.99096,0.45,72.0,0.338129,0.405466,0.649306,0.34375,0.0,482.286,NaN,NaN,NaN
BF27_cpmp_20_8_96_39_58_12,20.0,8.0,0.4,0.6,0.0,0.8,0.842105,0.0,4.0,2.4,0.830662,3.0,27.0,15.25,7.70146,0.3625,59.0,0.304856,0.451712,0.736111,0.0,0.05,NaN,NaN,359.054,NaN
BF27_cpmp_20_8_96_39_58_6,20.0,8.0,0.4,0.6,0.0,0.8,0.8,0.0,4.0,2.4,0.860233,2.0,34.0,14.5625,10.1794,0.3625,60.0,0.357914,0.449005,0.583333,0.0,0.0,NaN,NaN,178.767,1104.137
BF27_cpmp_20_8_96_39_58_9,20.0,8.0,0.4,0.6,0.0,0.9,0.947368,0.0,5.0,2.4,0.943398,2.0,30.0,15.0556,8.2964,0.3625,61.0,0.609712,0.458776,0.569444,0.0,0.0,70.236,NaN,NaN,NaN
BF28_cpmp_20_8_96_39_72_19,20.0,8.0,0.4,0.6,0.05,0.7,1.0,0.0,6.0,2.4,1.09087,2.0,32.0,16.7857,9.88634,0.45,72.0,0.198741,0.413438,0.701389,0.18125,0.0,NaN,NaN,220.91,1868.773
BF2_cpmp_16_5_48_10_36_1,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,7.0,4.36364,1.66639,2.0,10.0,4.8,2.6,0.45,36.0,0.197778,0.358081,0.538462,0.4,0.0,0.016,1.276,165.582,183.243
BF2_cpmp_16_5_48_10_36_11,16.0,5.0,0.3125,0.6,0.25,0.625,1.0,0.0,6.0,4.36364,1.49379,2.0,8.0,4.6,2.2,0.45,36.0,0.202222,0.368308,0.548077,0.3125,0.0,0.772,1.136,NaN,NaN
BF2_cpmp_16_5_48_10_36_12,16.0,5.0,0.3125,0.6,0.25,0.625,1.0,0.0,9.0,4.36364,2.1436,2.0,9.0,5.0,2.44949,0.45,36.0,0.493333,0.379419,0.602564,0.4,0.0,NaN,NaN,0.004,NaN
BF2_cpmp_16_5_48_10_36_13,16.0,5.0,0.3125,0.6,0.3125,0.6875,1.0,0.0,7.0,4.36364,1.87193,2.0,10.0,5.90909,2.4663,0.45,36.0,0.171111,0.402904,0.489011,0.35,0.0,48.127,7.476,NaN,NaN
BF2_cpmp_16_5_48_10_36_14,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,7.0,4.36364,1.82272,2.0,8.0,4.9,2.02237,0.45,36.0,0.555556,0.389141,0.740385,0.3625,0.0,0.056,0.016,NaN,NaN
BF2_cpmp_16_5_48_10_36_15,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,7.0,4.36364,1.66639,2.0,10.0,5.0,2.79285,0.45,36.0,0.402222,0.390593,0.638462,0.4,0.0,0.06,0.484,0.004,0.004
BF2_cpmp_16_5_48_10_36_17,16.0,5.0,0.3125,0.6,0.3125,0.6875,1.0,0.0,5.0,4.36364,1.43164,2.0,10.0,5.45455,2.38799,0.45,36.0,0.455556,0.391098,0.584615,0.3125,0.0,0.048,0.968,0.004,0.008
BF2_cpmp_16_5_48_10_36_18,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,6.0,4.36364,1.55346,2.0,10.0,5.4,2.90517,0.45,36.0,0.677778,0.39072,0.570513,0.4,0.0,0.024,0.016,0.004,NaN
BF2_cpmp_16_5_48_10_36_19,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,6.0,4.36364,1.61091,2.0,8.0,5.0,2.40832,0.45,36.0,0.42,0.362626,0.487179,0.35,0.0,0.284,NaN,NaN,NaN
BF2_cpmp_16_5_48_10_36_2,16.0,5.0,0.3125,0.6,0.25,0.6875,1.0,0.0,7.0,4.36364,1.72008,2.0,9.0,5.90909,2.35312,0.45,36.0,0.171111,0.417361,0.6,0.375,0.0,NaN,0.184,NaN,NaN
BF2_cpmp_16_5_48_10_36_20,16.0,5.0,0.3125,0.6,0.25,0.625,1.0,0.0,7.0,4.36364,1.87193,2.0,10.0,5.0,2.40832,0.45,36.0,0.277778,0.373422,0.384615,0.35,0.0,4.004,0.016,0.004,0.004
BF2_cpmp_16_5_48_10_36_3,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,6.0,4.36364,1.55346,2.0,7.0,4.5,1.74642,0.45,36.0,0.1,0.37178,0.448718,0.4,0.0,0.108,14.797,0.004,0.004
BF2_cpmp_16_5_48_10_36_4,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,7.0,4.36364,1.77214,2.0,9.0,5.8,2.4,0.45,36.0,0.277778,0.38529,0.519231,0.3625,0.0,7.212,1.284,0.004,NaN
BF2_cpmp_16_5_48_10_36_5,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,6.0,4.36364,1.55346,2.0,10.0,5.4,2.37487,0.45,36.0,0.16,0.387374,0.5,0.325,0.0,0.556,0.028,0.0,0.004
BF2_cpmp_16_5_48_10_36_6,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,6.0,4.36364,1.55346,2.0,9.0,4.6,2.2891,0.45,36.0,0.444444,0.369003,0.701923,0.3125,0.0,NaN,NaN,1323.091,NaN
BF2_cpmp_16_5_48_10_36_7,16.0,5.0,0.3125,0.6,0.375,0.625,1.0,0.0,8.0,4.36364,1.82272,2.0,9.0,4.9,2.34307,0.45,36.0,0.677778,0.347412,0.384615,0.4,0.0,0.808,NaN,0.0,NaN
BF2_cpmp_16_5_48_10_36_8,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,6.0,4.36364,1.55346,2.0,8.0,5.2,1.93907,0.45,36.0,0.177778,0.357702,0.378205,0.4,0.0,0.052,NaN,0.004,2933.159
BF2_cpmp_16_5_48_10_36_9,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,7.0,4.36364,1.77214,2.0,8.0,5.1,2.3,0.45,36.0,0.257778,0.367361,0.576923,0.3125,0.0,0.512,0.54,0.096,0.088
BF3_cpmp_16_5_48_20_29_1,16.0,5.0,0.3125,0.6,0.1875,0.6875,0.916667,0.0,6.0,2.28571,1.45219,3.0,15.0,8.45455,3.82251,0.3625,29.0,0.7,0.391005,0.346154,0.3,0.125,NaN,NaN,108.943,NaN
BF3_cpmp_16_5_48_20_29_11,16.0,5.0,0.3125,0.6,0.125,0.5625,0.9,0.0,3.0,2.28571,0.764875,2.0,18.0,8.22222,4.91659,0.3625,29.0,0.06,0.387401,0.628205,0.3625,0.0,0.016,NaN,0.0,184.984
BF3_cpmp_16_5_48_20_29_13,16.0,5.0,0.3125,0.6,0.125,0.625,0.909091,0.0,4.0,2.28571,0.933139,2.0,14.0,8.5,3.98121,0.3625,29.0,0.688889,0.433499,0.75,0.3375,0.0625,24.049,NaN,0.0,NaN
BF3_cpmp_16_5_48_20_29_14,16.0,5.0,0.3125,0.6,0.0625,0.75,0.923077,0.0,5.0,2.28571,1.16058,3.0,17.0,7.33333,3.85861,0.3625,30.0,0.395556,0.405853,0.525641,0.3,0.0,NaN,0.052,NaN,NaN
BF3_cpmp_16_5_48_20_29_16,16.0,5.0,0.3125,0.6,0.0625,0.5625,0.9,0.0,5.0,2.28571,1.07539,2.0,19.0,10.1111,5.25874,0.3625,29.0,0.197778,0.401918,0.519231,0.1125,0.0,13.061,1.032,5.628,859.542
BF3_cpmp_16_5_48_20_29_19,16.0,5.0,0.3125,0.6,0.0,0.625,0.833333,0.0,6.0,2.28571,1.20091,3.0,12.0,6.6,2.69072,0.3625,30.0,0.162222,0.375595,0.596154,0.0,0.0,NaN,19.833,155.03,5.208
BF3_cpmp_16_5_48_20_29_20,16.0,5.0,0.3125,0.6,0.1875,0.625,0.909091,0.0,5.0,2.28571,0.982846,2.0,19.0,7.3,4.98096,0.3625,29.0,0.5,0.361905,0.403846,0.3125,0.0,61.472,NaN,3446.571,NaN
BF3_cpmp_16_5_48_20_29_3,16.0,5.0,0.3125,0.6,0.0625,0.5625,0.818182,0.0,5.0,2.28571,0.982846,2.0,12.0,6.44444,3.49956,0.3625,29.0,0.473333,0.40043,0.711538,0.175,0.0,3.072,306.691,NaN,NaN
BF3_cpmp_16_5_48_20_29_5,16.0,5.0,0.3125,0.6,0.1875,0.6875,0.916667,0.0,4.0,2.28571,0.824786,3.0,19.0,8.09091,5.16024,0.3625,29.0,0.446667,0.398181,0.589744,0.275,0.0625,NaN,NaN,665.154,228.986
BF3_cpmp_16_5_48_20_29_6,16.0,5.0,0.3125,0.6,0.125,0.625,0.909091,0.0,4.0,2.28571,0.933139,3.0,18.0,9.6,5.08331,0.3625,29.0,0.551111,0.418618,0.487179,0.125,0.0,0.1,6.948,0.004,3.604
BF3_cpmp_16_5_48_20_29_8,16.0,5.0,0.3125,0.6,0.1875,0.75,1.0,0.0,4.0,2.28571,0.824786,2.0,18.0,9.08333,4.78641,0.3625,29.0,0.417778,0.380423,0.634615,0.35,0.0625,0.02,NaN,0.004,NaN
BF3_cpmp_16_5_48_20_29_9,16.0,5.0,0.3125,0.6,0.0625,0.625,1.0,0.0,4.0,2.28571,0.880631,2.0,10.0,5.5,2.94109,0.3625,29.0,0.637778,0.393618,0.692308,0.225,0.0625,0.016,NaN,0.0,NaN
BF4_cpmp_16_5_48_20_36_1,16.0,5.0,0.3125,0.6,0.375,0.625,1.0,0.0,4.0,2.28571,0.764875,3.0,14.0,8.1,3.7,0.45,36.0,0.1,0.331052,0.576923,0.4,0.0625,0.012,0.132,0.004,0.012
BF4_cpmp_16_5_48_20_36_10,16.0,5.0,0.3125,0.6,0.375,0.625,1.0,0.0,5.0,2.28571,0.933139,4.0,19.0,10.0,4.51664,0.45,36.0,0.433333,0.345536,0.653846,0.4,0.0,NaN,NaN,0.004,0.036
BF4_cpmp_16_5_48_20_36_11,16.0,5.0,0.3125,0.6,0.375,0.625,1.0,0.0,5.0,2.28571,0.933139,2.0,13.0,7.0,2.93258,0.45,36.0,0.144444,0.325959,0.717949,0.375,0.0625,NaN,107.599,NaN,NaN
BF4_cpmp_16_5_48_20_36_13,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,7.0,2.28571,1.35023,3.0,19.0,9.3,5.38609,0.45,36.0,0.144444,0.354464,0.807692,0.35,0.3125,0.052,0.024,0.004,0.244
BF4_cpmp_16_5_48_20_36_14,16.0,5.0,0.3125,0.6,0.375,0.625,1.0,0.0,5.0,2.28571,1.11879,3.0,19.0,13.4,5.04381,0.45,36.0,0.422222,0.394081,0.615385,0.375,0.0625,2.264,1.748,0.332,0.376
BF4_cpmp_16_5_48_20_36_15,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,6.0,2.28571,1.20091,2.0,19.0,9.3,5.9,0.45,36.0,0.666667,0.368651,0.403846,0.375,0.0,NaN,NaN,0.004,NaN
BF4_cpmp_16_5_48_20_36_16,16.0,5.0,0.3125,0.6,0.375,0.625,1.0,0.0,4.0,2.28571,0.880631,3.0,19.0,12.4,5.0636,0.45,36.0,0.377778,0.377712,0.423077,0.375,0.0625,0.02,0.428,0.004,0.004
BF4_cpmp_16_5_48_20_36_17,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,4.0,2.28571,0.982846,3.0,19.0,9.7,4.38292,0.45,36.0,0.655556,0.373578,0.730769,0.4,0.125,82.681,2.356,8.893,0.44
BF4_cpmp_16_5_48_20_36_18,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,5.0,2.28571,0.933139,2.0,19.0,7.1,4.65725,0.45,36.0,0.357778,0.343684,0.333333,0.35,0.1875,0.16,5.616,0.424,NaN
BF4_cpmp_16_5_48_20_36_19,16.0,5.0,0.3125,0.6,0.25,0.5625,1.0,0.0,4.0,2.28571,1.11879,4.0,18.0,9.77778,4.02155,0.45,36.0,0.746667,0.384259,0.423077,0.35,0.125,234.887,NaN,0.004,0.004
BF4_cpmp_16_5_48_20_36_2,16.0,5.0,0.3125,0.6,0.3125,0.5625,0.9,0.0,4.0,2.28571,0.933139,4.0,20.0,10.4444,4.78681,0.45,36.0,0.704444,0.371759,0.596154,0.35,0.125,NaN,NaN,121.056,165.59
BF4_cpmp_16_5_48_20_36_20,16.0,5.0,0.3125,0.6,0.25,0.6875,1.0,0.0,6.0,2.28571,1.27775,2.0,18.0,10.3636,5.26174,0.45,36.0,0.36,0.405721,0.692308,0.3375,0.0,5.376,0.056,18.581,0.656
BF4_cpmp_16_5_48_20_36_3,16.0,5.0,0.3125,0.6,0.3125,0.6875,1.0,0.0,4.0,2.28571,0.933139,2.0,20.0,10.0909,5.40125,0.45,36.0,0.155556,0.354001,0.692308,0.3625,0.0625,0.152,NaN,0.004,NaN
BF4_cpmp_16_5_48_20_36_5,16.0,5.0,0.3125,0.6,0.3125,0.625,1.0,0.0,8.0,2.28571,1.54744,2.0,14.0,6.4,3.87814,0.45,36.0,0.722222,0.334987,0.634615,0.3625,0.0625,0.216,1.312,0.048,3.232
BF4_cpmp_16_5_48_20_36_6,16.0,5.0,0.3125,0.6,0.25,0.625,1.0,0.0,3.0,2.28571,0.699854,2.0,19.0,10.4,5.62494,0.45,36.0,0.302222,0.384028,0.371795,0.2875,0.1875,1.668,0.088,0.0,NaN
BF4_cpmp_16_5_48_20_36_7,16.0,5.0,0.3125,0.6,0.375,0.625,1.0,0.0,4.0,2.28571,0.824786,2.0,16.0,7.1,4.32319,0.45,36.0,0.495556,0.311574,0.711538,0.4,0.125,11.393,0.52,93.89,1.192
BF4_cpmp_16_5_48_20_36_8,16.0,5.0,0.3125,0.6,0.25,0.6875,1.0,0.0,4.0,2.28571,0.982846,2.0,16.0,7.90909,4.58167,0.45,36.0,0.784444,0.346263,0.884615,0.3875,0.0625,0.02,267.681,0.004,68.28
BF4_cpmp_16_5_48_20_36_9,16.0,5.0,0.3125,0.6,0.25,0.5625,1.0,0.0,4.0,2.28571,0.764875,2.0,18.0,9.66667,5.22813,0.45,36.0,0.277778,0.359425,0.730769,0.4,0.0625,2.828,6.94,0.0,0.012
BF5_cpmp_16_5_64_13_39_1,16.0,5.0,0.3125,0.8,0.0,0.8125,0.8125,0.0,7.0,4.57143,1.54524,2.0,10.0,4.46154,2.27411,0.4875,42.0,0.14,0.526687,0.707692,0.0,0.0625,228.59,7.68,485.89,4.94
BF5_cpmp_16_5_64_13_39_10,16.0,5.0,0.3125,0.8,0.0625,0.8125,1.0,0.0,7.0,4.57143,1.4983,3.0,13.0,6.53846,2.46874,0.4875,39.0,0.242222,0.505308,0.528846,0.1125,0.0625,NaN,337.773,NaN,NaN
BF5_cpmp_16_5_64_13_39_11,16.0,5.0,0.3125,0.8,0.0,0.8125,0.8125,0.0,7.0,4.57143,1.44984,2.0,10.0,5.46154,2.4997,0.4875,42.0,0.18,0.519246,0.669231,0.0,0.0625,NaN,NaN,NaN,238.703
BF5_cpmp_16_5_64_13_39_12,16.0,5.0,0.3125,0.8,0.0,0.75,0.857143,0.0,7.0,4.57143,1.63507,2.0,12.0,6.25,3.4187,0.4875,41.0,0.115556,0.53497,0.438462,0.0,0.0625,0.064,5.068,0.788,299.575
BF5_cpmp_16_5_64_13_39_14,16.0,5.0,0.3125,0.8,0.0,0.875,0.875,0.0,9.0,4.57143,1.80136,2.0,13.0,7.07143,3.32661,0.4875,41.0,0.293333,0.566419,0.338462,0.0,0.0,0.26,2.836,1.192,0.92
BF5_cpmp_16_5_64_13_39_15,16.0,5.0,0.3125,0.8,0.0625,0.9375,1.0,0.0,6.0,4.57143,1.34771,2.0,13.0,6.2,3.03754,0.4875,40.0,0.355556,0.527232,0.569231,0.075,0.0,NaN,237.703,NaN,12.665
BF5_cpmp_16_5_64_13_39_17,16.0,5.0,0.3125,0.8,0.0,0.875,0.875,0.0,6.0,4.57143,1.44984,2.0,12.0,5.78571,3.38439,0.4875,42.0,0.108889,0.540476,0.461538,0.0,0.0625,1.284,38.662,0.516,0.256
BF5_cpmp_16_5_64_13_39_2,16.0,5.0,0.3125,0.8,0.0625,0.9375,1.0,0.0,10.0,4.57143,2.16182,2.0,13.0,7.0,3.01109,0.4875,40.0,0.111111,0.555704,0.410256,0.075,0.0625,95.354,0.04,1583.931,2516.925
BF5_cpmp_16_5_64_13_39_20,16.0,5.0,0.3125,0.8,0.0,0.875,0.933333,0.0,6.0,4.57143,1.39971,2.0,13.0,5.85714,3.77694,0.4875,40.0,0.106667,0.540327,0.592308,0.0,0.125,NaN,NaN,NaN,1500.394
BF5_cpmp_16_5_64_13_39_3,16.0,5.0,0.3125,0.8,0.0,0.75,0.923077,0.0,6.0,4.57143,1.4983,3.0,10.0,5.58333,2.25308,0.4875,40.0,0.186667,0.530952,0.538462,0.0,0.125,0.352,NaN,NaN,NaN
BF5_cpmp_16_5_64_13_39_4,16.0,5.0,0.3125,0.8,0.0,0.8125,0.928571,0.0,6.0,4.57143,1.44984,3.0,12.0,6.76923,2.57664,0.4875,40.0,0.557778,0.557143,0.638462,0.0,0.1875,5.6,1.556,NaN,NaN
BF5_cpmp_16_5_64_13_39_5,16.0,5.0,0.3125,0.8,0.0625,0.875,0.933333,0.0,7.0,4.57143,1.54524,2.0,10.0,5.85714,2.79942,0.4875,41.0,0.0555556,0.54122,0.551282,0.1625,0.0625,7.056,2.452,0.892,0.352
BF5_cpmp_16_5_64_13_39_8,16.0,5.0,0.3125,0.8,0.0,0.75,0.75,0.0,6.0,4.57143,1.34771,2.0,11.0,5.41667,2.92855,0.4875,41.0,0.111111,0.516369,0.548077,0.0,0.0,6.72,138.617,14.333,0.296
BF5_cpmp_16_5_64_13_39_9,16.0,5.0,0.3125,0.8,0.0,0.875,0.875,0.0,9.0,4.57143,1.76126,2.0,12.0,5.85714,3.09047,0.4875,41.0,0.00888889,0.524901,0.692308,0.0,0.0625,0.832,0.34,29.366,81.745
BF6_cpmp_16_5_64_13_48_1,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,7.0,4.57143,1.63507,3.0,13.0,7.30769,3.24356,0.6,48.0,0.286667,0.498909,0.692308,0.1875,0.125,11.389,11.861,NaN,NaN
BF6_cpmp_16_5_64_13_48_11,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,7.0,4.57143,1.63507,2.0,11.0,6.30769,3.098,0.6,48.0,0.186667,0.470337,0.5,0.1875,0.0,3.016,1.588,NaN,NaN
BF6_cpmp_16_5_64_13_48_12,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,6.0,4.57143,1.59079,2.0,11.0,5.69231,2.64239,0.6,50.0,0.0444444,0.456448,0.394231,0.1875,0.0,78.477,0.852,NaN,NaN
BF6_cpmp_16_5_64_13_48_13,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,7.0,4.57143,1.63507,2.0,12.0,5.07692,2.99901,0.6,50.0,0.0444444,0.426538,0.357143,0.2,0.0625,114.211,1.536,NaN,NaN
BF6_cpmp_16_5_64_13_48_15,16.0,5.0,0.3125,0.8,0.125,0.8125,1.0,0.0,7.0,4.57143,1.54524,2.0,12.0,6.53846,3.00296,0.6,48.0,0.251111,0.496875,0.592308,0.1875,0.0,NaN,133.524,NaN,NaN
BF6_cpmp_16_5_64_13_48_16,16.0,5.0,0.3125,0.8,0.125,0.875,1.0,0.0,6.0,4.57143,1.39971,3.0,10.0,6.35714,2.02157,0.6,50.0,0.0,0.505853,0.519231,0.1625,0.125,1.072,3.036,NaN,NaN
BF6_cpmp_16_5_64_13_48_17,16.0,5.0,0.3125,0.8,0.125,0.8125,1.0,0.0,7.0,4.57143,1.4983,2.0,13.0,6.38462,3.4981,0.6,49.0,0.0,0.493899,0.515385,0.15,0.0,1.904,2.112,NaN,NaN
BF6_cpmp_16_5_64_13_48_18,16.0,5.0,0.3125,0.8,0.0625,0.8125,1.0,0.0,7.0,4.57143,1.4983,2.0,10.0,5.53846,2.53029,0.6,50.0,0.0444444,0.502877,0.492308,0.0625,0.0,12.225,NaN,NaN,NaN
BF6_cpmp_16_5_64_13_48_19,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,7.0,4.57143,1.59079,2.0,12.0,7.0,3.50823,0.6,48.0,0.0444444,0.483879,0.326923,0.2,0.125,NaN,28.89,NaN,NaN
BF6_cpmp_16_5_64_13_48_2,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,6.0,4.57143,1.39971,2.0,11.0,6.38462,2.70437,0.6,48.0,0.322222,0.477282,0.509615,0.2,0.0625,1.72,8.465,NaN,NaN
BF6_cpmp_16_5_64_13_48_3,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,7.0,4.57143,1.59079,2.0,10.0,6.76923,2.72182,0.6,49.0,0.00888889,0.495288,0.615385,0.1875,0.125,1.972,NaN,NaN,NaN
BF6_cpmp_16_5_64_13_48_4,16.0,5.0,0.3125,0.8,0.125,0.8125,1.0,0.0,8.0,4.57143,1.72023,2.0,13.0,5.69231,3.47263,0.6,49.0,0.357778,0.477579,0.569231,0.125,0.0,NaN,125.576,NaN,NaN
BF6_cpmp_16_5_64_13_48_6,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,8.0,4.57143,1.63507,2.0,12.0,6.30769,3.42804,0.6,48.0,0.4,0.475694,0.692308,0.1875,0.0,156.334,NaN,NaN,NaN
BF6_cpmp_16_5_64_13_48_7,16.0,5.0,0.3125,0.8,0.1875,0.8125,1.0,0.0,6.0,4.57143,1.44984,2.0,10.0,6.0,2.48069,0.6,49.0,0.177778,0.471032,0.451923,0.1875,0.0,9.729,14.477,NaN,NaN
